gene_id,Pheno,GeneEff,colors,scoreType,score,timeOrder
SF3B1,Affected,missense,yellow,REVEL,0.704,4
SF3B1,Affected,missense,yellow,REVEL,0.619,4
SF3B1,Affected,missense,yellow,REVEL,0.073,4
MOB4,Affected,missense,tan,REVEL,0.499,6
MOB4,Affected,missense,tan,REVEL,0.895,6
MOB4,Affected,missense,tan,REVEL,0.904,6
SATB2,Affected,missense,blue,REVEL,0.112,5
SATB2,Affected,missense,blue,REVEL,0.586,5
SATB2,Affected,missense,blue,REVEL,0.513,5
SATB2,Affected,missense,blue,REVEL,0.509,5
SATB2,Unaffected,missense,blue,REVEL,0.081,5
MAP2,Affected,missense,blue,REVEL,0.069,5
MAP2,Unaffected,missense,blue,REVEL,0.431,5
MAP2,Unaffected,missense,blue,REVEL,0.439,5
MAP2,Affected,missense,blue,REVEL,0.269,5
MAP2,Affected,missense,blue,REVEL,0.035,5
ATIC,Affected,missense,black,REVEL,0.87,3
ATIC,Affected,missense,black,REVEL,0.867,3
XRCC5,Affected,missense,greenyellow,REVEL,0.305,2
TNS1,Affected,missense,tan,REVEL,0.206,6
TNS1,Affected,missense,tan,REVEL,0.509,6
AAMP,Unaffected,missense,magenta,REVEL,0.357,1
FARSB,Affected,missense,blue,REVEL,0.681,5
CUL3,Affected,missense,blue,REVEL,0.675,5
NCL,Unaffected,missense,greenyellow,REVEL,0.024,2
PTMA,Unaffected,missense,greenyellow,REVEL,0.028,2
PTMA,Unaffected,missense,greenyellow,REVEL,0.026,2
PTMA,Affected,missense,greenyellow,REVEL,0.352,2
PTMA,Affected,missense,greenyellow,REVEL,0.173,2
COPS8,Affected,missense,greenyellow,REVEL,0.756,2
NDUFA10,Unaffected,missense,tan,REVEL,0.251,6
KIF1A,Unaffected,missense,greenyellow,REVEL,0.581,2
KIF1A,Affected,missense,greenyellow,REVEL,0.056,2
KIF1A,Affected,missense,greenyellow,REVEL,0.226,2
KIF1A,Affected,missense,greenyellow,REVEL,0.738,2
CROCC2,Affected,missense,greenyellow,REVEL,0.008,2
CROCC2,Affected,missense,greenyellow,REVEL,0.011,2
CROCC2,Unaffected,missense,greenyellow,REVEL,0.111,2
HDLBP,Affected,missense,greenyellow,REVEL,0.473,2
HDLBP,Affected,missense,greenyellow,REVEL,0.357,2
HDLBP,Affected,missense,greenyellow,REVEL,0.305,2
DTYMK,Affected,missense,greenyellow,REVEL,0.246,2
DTYMK,Unaffected,missense,greenyellow,REVEL,0.483,2
SETMAR,Affected,missense,greenyellow,REVEL,0.178,2
RAD18,Unaffected,missense,tan,REVEL,0.897,6
NUP210,Affected,missense,tan,REVEL,0.213,6
NUP210,Affected,missense,tan,REVEL,0.184,6
NUP210,Unaffected,missense,tan,REVEL,0.315,6
NUP210,Unaffected,missense,tan,REVEL,0.088,6
NUP210,Affected,missense,tan,REVEL,0.298,6
XPC,Affected,missense,greenyellow,REVEL,0.269,2
XPC,Affected,missense,greenyellow,REVEL,0.269,2
RPL15,Affected,missense,black,REVEL,0.638,3
RPL15,Affected,missense,black,REVEL,0.656,3
TOP2B,Unaffected,missense,yellow,REVEL,0.13,4
TOP2B,Unaffected,missense,yellow,REVEL,0.297,4
TOP2B,Unaffected,missense,yellow,REVEL,0.495,4
TOP2B,Affected,missense,yellow,REVEL,0.802,4
TOP2B,Affected,missense,yellow,REVEL,0.614,4
TOP2B,Affected,missense,yellow,REVEL,0.624,4
EOMES,Affected,missense,greenyellow,REVEL,0.586,2
EOMES,Unaffected,missense,greenyellow,REVEL,0.242,2
RPSA,Affected,missense,magenta,REVEL,0.27,1
RPL14,Affected,missense,black,REVEL,0.262,3
CTNNB1,Affected,missense,tan,REVEL,0.204,6
ANO10,Unaffected,missense,greenyellow,REVEL,0.035,2
LTF,Affected,missense,greenyellow,REVEL,0.04,2
LTF,Unaffected,missense,greenyellow,REVEL,0.161,2
LTF,Affected,missense,greenyellow,REVEL,0.13,2
SMARCC1,Affected,missense,greenyellow,REVEL,0.169,2
SMARCC1,Affected,missense,greenyellow,REVEL,0.231,2
SMARCC1,Affected,missense,greenyellow,REVEL,0.146,2
MAP4,Affected,missense,black,REVEL,0.975,3
MAP4,Unaffected,missense,black,REVEL,0.034,3
MAP4,Affected,missense,black,REVEL,0.007,3
MAP4,Affected,missense,black,REVEL,0.007,3
MAP4,Affected,missense,black,REVEL,0.051,3
MAP4,Affected,missense,black,REVEL,0.215,3
UQCRC1,Affected,missense,yellow,REVEL,0.663,4
UQCRC1,Affected,missense,yellow,REVEL,0.128,4
PRKAR2A,Affected,missense,blue,REVEL,0.619,5
IMPDH2,Affected,missense,black,REVEL,0.646,3
IMPDH2,Affected,missense,black,REVEL,0.687,3
TWF2,Unaffected,missense,greenyellow,REVEL,0.402,2
TKT,Affected,missense,greenyellow,REVEL,0.773,2
TKT,Affected,missense,greenyellow,REVEL,0.774,2
TKT,Affected,missense,greenyellow,REVEL,0.742,2
FLNB,Unaffected,missense,tan,REVEL,0.378,6
FLNB,Affected,missense,tan,REVEL,0.735,6
FLNB,Affected,missense,tan,REVEL,0.565,6
PSMD6,Affected,missense,blue,REVEL,0.622,5
PSMD6,Affected,missense,blue,REVEL,0.019,5
UBA3,Affected,missense,greenyellow,REVEL,0.202,2
CGGBP1,Affected,missense,greenyellow,REVEL,0.234,2
CGGBP1,Affected,missense,greenyellow,REVEL,0.298,2
FILIP1L,Affected,missense,greenyellow,REVEL,0.084,2
ATP6V1A,Affected,missense,blue,REVEL,0.302,5
ATP6V1A,Unaffected,missense,blue,REVEL,0.308,5
ATP6V1A,Affected,missense,blue,REVEL,0.933,5
CSTA,Affected,missense,greenyellow,REVEL,0.214,2
CSTA,Affected,missense,greenyellow,REVEL,0.082,2
KPNA1,Affected,missense,tan,REVEL,0.679,6
SEMA5B,Affected,missense,magenta,REVEL,0.054,1
SEMA5B,Affected,missense,magenta,REVEL,0.125,1
SEMA5B,Unaffected,missense,magenta,REVEL,0.717,1
SEMA5B,Affected,missense,magenta,REVEL,0.574,1
SEMA5B,Affected,missense,magenta,REVEL,0.206,1
UMPS,Affected,missense,tan,REVEL,0.092,6
UMPS,Affected,missense,tan,REVEL,0.092,6
MCM2,Affected,missense,magenta,REVEL,0.126,1
MCM2,Unaffected,missense,magenta,REVEL,0.48,1
SEC61A1,Affected,missense,tan,REVEL,0.832,6
SEC61A1,Affected,missense,tan,REVEL,0.832,6
RUVBL1,Affected,missense,yellow,REVEL,0.353,4
RAB43,Affected,missense,greenyellow,REVEL,0.799,2
RAB43,Affected,missense,greenyellow,REVEL,0.46,2
COPG1,Unaffected,missense,greenyellow,REVEL,0.259,2
COPG1,Affected,missense,greenyellow,REVEL,0.549,2
COPG1,Unaffected,missense,greenyellow,REVEL,0.22,2
NUDT16,Affected,missense,greenyellow,REVEL,0.197,2
CDV3,Unaffected,missense,tan,REVEL,0.151,6
COPB2,Affected,missense,blue,REVEL,0.08,5
MBNL1,Affected,missense,magenta,REVEL,0.316,1
MBNL1,Affected,missense,magenta,REVEL,0.219,1
MBNL1,Affected,missense,magenta,REVEL,0.973,1
MBNL1,Unaffected,missense,magenta,REVEL,0.127,1
GMPS,Affected,missense,black,REVEL,0.903,3
GMPS,Affected,missense,black,REVEL,0.241,3
SMC4,Affected,missense,black,REVEL,0.412,3
SMC4,Unaffected,missense,black,REVEL,0.378,3
TNIK,Unaffected,missense,magenta,REVEL,0.163,1
TNIK,Affected,missense,magenta,REVEL,0.358,1
TNIK,Affected,missense,magenta,REVEL,0.169,1
MFN1,Affected,missense,greenyellow,REVEL,0.822,2
MFN1,Affected,missense,greenyellow,REVEL,0.725,2
SOX2,Affected,missense,greenyellow,REVEL,0.311,2
AP2M1,Unaffected,missense,blue,REVEL,0.51,5
AP2M1,Affected,missense,blue,REVEL,0.292,5
AP2M1,Affected,missense,blue,REVEL,0.319,5
AP2M1,Affected,missense,blue,REVEL,0.689,5
AP2M1,Affected,missense,blue,REVEL,0.234,5
VWA5B2,Unaffected,missense,tan,REVEL,0.15,6
PSMD2,Affected,missense,yellow,REVEL,0.521,4
EIF4G1,Affected,missense,tan,REVEL,0.292,6
EIF4G1,Unaffected,missense,tan,REVEL,0.155,6
EIF4G1,Affected,missense,tan,REVEL,0.309,6
OPA1,Affected,missense,blue,REVEL,0.872,5
OPA1,Unaffected,missense,blue,REVEL,0.77,5
PAK2,Unaffected,missense,yellow,REVEL,0.052,4
CTBP1,Unaffected,missense,yellow,REVEL,0.331,4
CTBP1,Affected,missense,yellow,REVEL,0.867,4
ADD1,Affected,missense,greenyellow,REVEL,0.278,2
ADD1,Affected,missense,greenyellow,REVEL,0.11,2
MFSD10,Unaffected,missense,tan,REVEL,0.077,6
MFSD10,Affected,missense,tan,REVEL,0.839,6
CRMP1,Affected,missense,blue,REVEL,0.157,5
CRMP1,Affected,missense,blue,REVEL,0.964,5
WDR1,Affected,missense,yellow,REVEL,0.318,4
DHX15,Affected,missense,black,REVEL,0.169,3
PGM2,Affected,missense,tan,REVEL,0.691,6
PGM2,Affected,missense,tan,REVEL,0.418,6
UGDH,Affected,missense,black,REVEL,0.63,3
UBE2K,Affected,missense,greenyellow,REVEL,0.088,2
PDS5A,Affected,missense,black,REVEL,0.825,3
LIMCH1,Affected,missense,greenyellow,REVEL,0.015,2
LIMCH1,Unaffected,missense,greenyellow,REVEL,0.402,2
LIMCH1,Affected,missense,greenyellow,REVEL,0.411,2
TMEM33,Affected,missense,tan,REVEL,0.563,6
TMEM33,Unaffected,missense,tan,REVEL,0.185,6
POLR2B,Affected,missense,greenyellow,REVEL,0.796,2
UBA6,Affected,missense,blue,REVEL,0.086,5
UBA6,Unaffected,missense,blue,REVEL,0.297,5
RUFY3,Affected,missense,blue,REVEL,0.276,5
RUFY3,Affected,missense,blue,REVEL,0.146,5
RUFY3,Affected,missense,blue,REVEL,0.199,5
G3BP2,Affected,missense,greenyellow,REVEL,0.238,2
G3BP2,Affected,missense,greenyellow,REVEL,0.573,2
SCARB2,Affected,missense,tan,REVEL,0.477,6
CCDC158,Affected,missense,greenyellow,REVEL,0.118,2
SEC31A,Affected,missense,blue,REVEL,0.165,5
HPSE,Unaffected,missense,tan,REVEL,0.032,6
GPRIN3,Affected,missense,black,REVEL,0.043,3
SMARCAD1,Affected,missense,greenyellow,REVEL,0.909,2
RAP1GDS1,Affected,missense,greenyellow,REVEL,0.28,2
EIF4E,Affected,missense,yellow,REVEL,0.815,4
EIF4E,Affected,missense,yellow,REVEL,0.353,4
ADH5,Unaffected,missense,yellow,REVEL,0.398,4
PPP3CA,Affected,missense,blue,REVEL,0.139,5
PPP3CA,Affected,missense,blue,REVEL,0.43,5
PPP3CA,Affected,missense,blue,REVEL,0.647,5
CYP2U1,Unaffected,missense,tan,REVEL,0.336,6
