Gene name	Mouse gene name	Mouse homology type	dN with Mouse	dS with Mouse	Mouse orthology confidence [0 low, 1 high]
AL132709.1					
MIR8064					
RN7SKP38					
MIR548AG1					
RNU6-242P					
RN7SL193P					
RNU6-24P					
MIR367					
RN7SL863P					
RNA5SP40					
MIR3688-1					
RNA5SP56					
MIR7161					
AC113208.1					
AC126755.2					
RNU6-1251P					
MIR651					
RNU6-1065P					
MIR548I4					
AL023281.1					
RNU6-1147P					
MIR1911					
AC096637.1					
AL513342.1					
AL356273.2					
RNU6-103P					
AC090227.1	Scarna17	ortholog_one2many			1
AC090227.1	Gm25443	ortholog_one2many			0
RN7SL205P					
RNY3P10					
AC104012.1					
AL392166.1					
RNU6-1037P					
RN7SL209P					
RNU6-537P					
RNA5SP461					
RNU6-203P					
AC121343.1					
AC006116.1					
RNY4P27					
AC079347.1					
RNU2-34P					
AC024051.2	Gm23971	ortholog_many2many			0
AC024051.2	Gm24950	ortholog_many2many			0
AC024051.2	Gm23849	ortholog_many2many			0
AC024051.2	Rnu2-10	ortholog_many2many			0
AL136038.3					
AC090821.4					
AL139038.1					
RN7SKP102					
AC122179.1					
RNA5SP384					
AC079449.1					
RNU7-107P					
RNU6-388P	Gm23819	ortholog_one2many			0
RNU6-1000P	Gm24689	ortholog_one2one			0
AC133109.1					
AC007351.3					
RNU7-59P					
SNORA32					
RNU6-815P					
RNU6-1294P					
CR759763.2					
AC010746.1	Gm24500	ortholog_one2many			0
RNA5SP339					
RNU2-20P					
RNU6-791P					
RNU6-946P	Gm25705	ortholog_one2one			0
SNORD52					
RNU6-532P					
SNORD116-18					
RN7SL496P					
RNU4ATAC17P					
RN7SL602P					
RN7SL197P					
AP004609.2					
AC133550.1	Gm22504	ortholog_one2many			0
RNU4-37P					
AC006963.1					
AC012588.2					
RNU7-188P					
RNA5SP59					
RNU1-108P					
RNU6-310P					
AC063961.1					
RNU1-104P					
AC025278.3					
RN7SL23P					
AC011195.1	Rnu3b4	ortholog_many2many			1
AC011195.1	Gm22865	ortholog_many2many			0
AC011195.1	Rnu3b3	ortholog_many2many			1
AC011195.1	Gm23927	ortholog_many2many			0
AC011195.1	Rnu3b1	ortholog_many2many			1
AC011195.1	Gm25203	ortholog_many2many			0
AC011195.1	Gm24826	ortholog_many2many			0
AC011195.1	Rnu3b2	ortholog_many2many			1
AC011195.1	Gm24949	ortholog_many2many			0
SNORA72	Gm24523	ortholog_many2many			1
SNORA72	Gm23960	ortholog_many2many			0
RNU6-1310P					
FO681491.2					
SNORA70I					
CR788240.1					
AC090518.2					
SNORA65	Gm26440	ortholog_one2many			0
SNORA65	Gm22807	ortholog_one2many			0
SNORA65	Gm25379	ortholog_one2many			0
SNORA65	Snora65	ortholog_one2many			1
SNORA65	Gm24613	ortholog_one2many			0
SNORD100	Snord100	ortholog_one2one			1
RN7SKP17					
AC005064.2					
AC036222.2					
RNU6-86P					
RNY3P5					
RNA5SP534	Gm26405	ortholog_one2one			0
RNU6-818P					
AC090571.1					
RN7SL237P					
AC012314.14					
RNA5SP332					
RNU7-136P					
RN7SL296P					
AC097658.1					
AL137247.1	Gm24896	ortholog_one2many			0
AL162430.1					
RNU6-110P					
AC027290.1					
AC055845.1					
RNA5SP471					
AL137009.1					
AC044913.1					
AL805917.1					
AC104304.1					
RNU6-811P					
AC255560.1					
RNU6-146P					
RNU6-625P					
AC078843.2					
RNA5SP183					
AL133244.1					
AL591846.1					
RNU6-817P					
RNU6-1189P					
RNA5SP415					
RN7SL516P					
RNU1-32P					
RN7SL38P					
AC006960.1					
AC120778.1					
SNORD62B	Gm25632	ortholog_one2one			1
RN7SL470P					
MIR3115					
RNA5SP221					
AC024051.8	Gm23971	ortholog_many2many			0
AC024051.8	Gm24950	ortholog_many2many			0
AC024051.8	Gm23849	ortholog_many2many			0
AC024051.8	Rnu2-10	ortholog_many2many			0
RN7SL329P					
RN7SL856P					
MIR6735					
AC114737.1					
MIR5584					
RNU6-867P					
RNU6-359P					
SNORA74B	Gm23946	ortholog_one2many			1
MIR556					
RNA5SP48					
RN7SL238P					
SNORD66	Snord66	ortholog_one2one			1
AL592188.1					
MIR1295B					
RNU7-87P					
RN7SL462P					
MIR4677					
AC103987.1	Gm25079	ortholog_one2one			0
RNU6-113P					
MIR1237					
AC092324.1					
AC244035.3	Snord60	ortholog_one2many			0
MIR4691					
AC007000.1					
AL109925.1					
RNA5SP407					
RN7SL362P					
MIR4697					
RNA5SP296					
MIR3198-2					
AC010542.5					
RNA5SP206					
RN7SL803P					
MIR4496					
RNU6-1160P					
RNU6-185P					
AL034351.6					
MIR18A	Mir18	ortholog_one2one			1
AC124864.1					
AC022413.1					
SNORD116-25					
AC091133.2					
MIR1469					
SCARNA13	Scarna13	ortholog_one2many			1
SCARNA13	Gm26489	ortholog_one2many			0
SCARNA13	Gm25624	ortholog_one2many			0
AL133383.1					
RNU6-19P					
MIR5587					
AC079601.1					
RNU6-57P					
AC112497.1					
RNU2-45P					
MIR3976					
AL096828.4					
RN7SL297P					
AC004707.1					
MIR526B					
CR788250.4					
AC051649.3	Gm27483	ortholog_one2many			1
AC010980.1					
MIR4779					
RNA5SP86					
AC091825.2	Gm27369	ortholog_one2one			1
MIR6811					
SNORD25	Gm25855	ortholog_one2one			1
SNORA3A	Gm24698	ortholog_one2many			0
SNORA3A	Snora3	ortholog_one2many			1
MIR3617					
RNU6-154P	Gm22887	ortholog_one2many			0
RNU6-154P	Gm24465	ortholog_one2many			0
MIR1257					
RNU6-112P					
MIR33A	Mir33	ortholog_one2one			1
BX004987.1					
SNORA54					
MIR4762					
AC094019.3					
MIR449C					
MIR6831					
MIR8056					
MIR550B1					
KLF13					
MIR4650-1					
MIR596					
MIR181A2					
MIR3689E					
RNU6-325P					
RNU6-450P					
MIR548F5					
AC136616.3					
RNU6ATAC41P					
MIR105-1	Mir105	ortholog_one2many			1
RNA5SP319					
RNU6-984P					
RN7SL394P					
AC004080.16					
RNU1-30P					
RN7SL382P					
AL035450.1					
RN7SL517P					
RNU6-609P	Gm24839	ortholog_one2one			0
AC003688.1					
RNU6-983P					
RN7SKP224					
AC074021.1					
AC011841.2					
Z97632.1					
SNORA60	Gm25129	ortholog_one2one			1
RN7SL865P					
RNU6-1297P					
RNU6-559P					
MBOAT7					
AC004386.3	Gm27987	ortholog_one2one			1
AC100843.1					
AC012314.18					
RNU7-133P					
AL365219.1					
RNU6-619P					
AC079835.1	Gm22199	ortholog_one2one			0
AC013603.1					
RNU4-82P					
RNU6-1025P					
AC136352.1					
RN7SL262P					
RNU2-26P					
SCARNA23	Gm22728	ortholog_one2many			0
RNU6-462P					
AC237044.1					
AC137488.1					
AC123595.2					
RNU6ATAC23P					
RNA5SP139					
SNORD114-30					
AC097173.1					
RNU6-711P					
SNORD114-23	Gm22205	ortholog_one2many			0
RNU6-1046P					
AC026740.3	Zdhhc11	ortholog_one2many	0.4336	2.0248	0
RNU4-20P					
RN7SL178P					
AL391827.2					
RNU6-570P					
RN7SL678P					
RNU6-1200P					
AL139113.1					
SNORA77B	Gm25777	ortholog_one2many			1
AC013828.1					
RN7SL321P					
MIR604					
RN7SKP203					
MIR7856					
MIR6507					
MIR8070					
RNU6-366P	Gm22708	ortholog_one2one			0
RNU6-681P					
MIR4681					
MIR34C	Mir34c	ortholog_one2one			1
RNA5SP147					
MIR6747					
AL451051.1					
MIR17	Mir17	ortholog_one2one			1
MIR5579					
RNY1P1					
RNU6-684P					
MIR4494					
MIR4504					
MIR3908					
SCARNA21					
MIR5701-1					
MIR15A	Mir15a	ortholog_one2one			1
AC074367.2					
MIR4509-3					
MIR7855					
MIR7-2					
AC007325.1					
RN7SL800P					
MIR329-1					
MIR635					
MIR656	Gm24321	ortholog_one2one			1
AC008013.1	Gm22972	ortholog_many2many			0
AC008013.1	Gm22338	ortholog_many2many			0
AC008013.1	Gm25038	ortholog_many2many			0
MIR1268B					
MIR4319					
MIR373					
RNU6-274P					
MIR5695					
MIR6804					
MIR515-1					
RNU6ATAC33P					
MIR4263					
MIR520A					
MIR6508					
AL138499.1					
MIR4782					
MIR1248					
RNU6-692P	Gm23926	ortholog_one2one			0
MIR572					
MIR6888					
MIR4275					
RNA5SP409					
MIR125B2					
MIR3945					
RNU6-700P					
MIR4638					
MIR4290					
MIR3654					
MIR6081					
RNU4-41P					
MIR548V					
MIR514A3					
MIR3150A					
BX927235.3					
MIR6895					
RNU6-499P					
MIRLET7F2	Mirlet7f-2	ortholog_one2one			1
AC005787.1					
RN7SKP39					
MIR92A2					
RN7SKP142					
SNORA53	Gm24119	ortholog_one2one			1
RNVU1-14					
AC010127.1					
AL031685.2					
RNU4-59P					
RNU6-513P					
RNA5SP320					
RNA5SP24					
SNORD12	Snord12	ortholog_one2one			1
CHRFAM7A					
RN7SKP28					
RNA5SP169					
RNA5SP535					
RNU1-20P					
RNU6-285P					
RNU7-26P					
SNORA50A	Gm26265	ortholog_one2one			1
AC015884.3					
RN7SKP186					
AL049757.1					
RN7SL182P					
AC111186.1					
RNU6-926P					
RNU1-136P					
RNU6-1123P					
RN7SL623P					
RNU7-20P					
AL031681.1					
SCARNA22	Gm22728	ortholog_one2many			0
AL365223.1					
RNU7-141P					
RNA5SP459					
AC096917.1					
RNU6-483P					
RN7SL286P					
AC236668.1					
RNU7-157P					
AC103725.1					
SNORD6	Gm24357	ortholog_one2many			1
SNORD32A	Snord32a	ortholog_one2one			1
RN7SL188P					
AC100840.1					
RNA5SP488					
AL499604.1					
SNORA15B-2	Snora15	ortholog_one2many			1
RN7SL531P					
RNU4ATAC12P					
AP003041.3	Gm26393	ortholog_many2many			0
AP003041.3	Gm25284	ortholog_many2many			0
CR753842.2					
RNU6-48P					
AC007956.1					
RN7SL12P					
RNVU1-2A					
AC008128.1					
AP002848.1					
RNU6-311P					
AC019117.1	Gm25428	ortholog_many2many			0
AC019117.1	Gm23679	ortholog_many2many			1
AC019117.1	Gm23772	ortholog_many2many			0
AC140119.1					
AC098820.1					
RNU6-738P					
RNU6-643P					
RNU6-1231P	Gm25664	ortholog_one2one			0
AC084854.1					
RN7SKP149					
RNU6-828P	Gm24716	ortholog_one2many			0
RNU6-378P					
AC243913.1					
RNU6-1053P	Gm23830	ortholog_one2one			0
RN7SL586P					
AL354980.1	Gm50449	ortholog_one2many			1
RN7SKP114					
AC090260.1	Gm25428	ortholog_many2many			0
AC090260.1	Gm23679	ortholog_many2many			0
AC090260.1	Gm23772	ortholog_many2many			0
RNU6-739P					
SNORA79B					
AC097525.1					
SNORD113-7	Gm23474	ortholog_one2one			0
RNU4-61P					
AC211486.8					
RNU6-545P	Gm22975	ortholog_one2one			0
RNU1-106P					
RNU7-161P					
MIR4425					
RN7SL628P					
SNORD48					
RN7SL318P					
MIR4297					
RNU6-1148P	Gm23587	ortholog_one2one			0
RNA5SP212					
MIR3181					
RN7SL236P					
RNU7-57P					
MIR140	Mir140	ortholog_one2one			1
MIR3972					
RNU1-155P					
MIR553					
MIR3678					
RN7SL67P					
RN7SL822P					
MIR205	Mir205	ortholog_one2one			1
MIR371B					
RNU6-1277P					
SNORD45C	Snord45c	ortholog_one2one			1
MIR26A2	Mir26a-2	ortholog_one2one			1
MIR4757					
RNU6-632P					
RNU6-1267P					
MIR665	Mir665	ortholog_one2one			1
MIR559					
MIR412	Mir412	ortholog_one2one			1
AC022415.1					
RNU6-831P					
MIR4776-2					
MIR4538					
SNORD14C					
MIR4535					
RNU6-495P					
MIR4509-2					
SNORA80A	Gm24284	ortholog_one2many			0
MIR5572					
MIR26A1	Mir26a-1	ortholog_one2one			1
RNU7-7P					
AL390119.1					
MIR549A					
SNORD138					
MIR193A	Mir193a	ortholog_one2one			1
RNU2-49P					
AC012377.1					
MIR1289-2					
MIR4429					
RN7SL853P					
MIR6873					
AC012572.1					
MIR4267					
AL392105.1					
MIR6509					
MIR6810					
RN7SKP220					
RNA5SP446					
MIR548F4					
MIR941-2					
RNU6-307P					
MIR6841					
AL162739.1					
MIR885					
MIR660					
RNA5SP157					
MIR196B	Mir196b	ortholog_one2one			1
RNA5SP389					
RN7SKP284					
MIR3610					
RNU6-751P					
RN7SKP253					
MIR1302-7					
AL137790.1					
AL627230.2					
AC004079.2					
MIRLET7F1					
RN7SKP63					
RN7SKP289					
MIR361	Mir361	ortholog_one2one			1
MIR513C					
RN7SKP19					
AL138690.2					
RNU6-376P					
RNA5SP482					
SNORD115-25					
AC006583.1					
AC012572.4					
AC090469.1					
SNORD116-3					
AL929472.5	Gm22864	ortholog_one2many			0
AC010240.1					
RNVU1-28					
RNA5SP123					
RNU6-252P					
RNU6-929P					
AC107067.1					
AC144587.1					
RNU6-87P					
AC011994.1					
SNORD70	Gm24297	ortholog_one2many			0
SNORD70	Snord70	ortholog_one2many			1
RN7SL424P					
SCARNA6	Scarna6	ortholog_one2one			1
RNA5SP344					
RNU6-1209P					
AF124730.1					
AC009228.2					
AC026634.1					
RN7SL76P					
RNU6-1285P					
RNA5SP412					
RNU6-976P					
AP000272.1					
AL662866.1					
RN7SKP254					
RN7SKP258					
AL137139.1					
RN7SL304P					
SCARNA18B	Gm25663	ortholog_one2one			1
RNA5SP243					
AL138776.1					
AC243562.4					
AL160163.1					
AC073135.5					
AP000944.2					
RNU6-1223P					
AC005995.1					
RNU6-1093P					
RNU6-1029P					
RNA5SP291					
RNY4P36					
RNU6-143P					
SNORD32B					
RNU6-551P					
RNU6-158P					
AC117415.2	Gm27611	ortholog_one2one			1
RNY3P7					
AC012640.3					
RNU6-1330P					
RNU6-1108P					
AC004792.1					
AC025252.1					
RN7SL705P					
SNORD56	Gm23650	ortholog_one2one			1
RNU6-1098P					
RN7SKP159					
AL138883.1					
RN7SL775P					
RNU6-747P					
AC115989.2					
RNU6-275P					
RN7SL392P					
RN7SL666P					
AL627313.2					
RN7SKP89					
RNU6-805P					
AC022296.1					
RNU6-697P					
AC023855.1					
RN7SL65P					
AC093872.1					
RNU7-187P					
CR936875.1					
RNU6-368P					
RN7SL154P					
SNORA38	Gm23442	ortholog_one2many			1
SNORA38	Gm24143	ortholog_one2many			0
AC135279.1					
AC004080.9	Gm27280	ortholog_one2one			1
RNA5SP165					
AL732366.1	Gm24339	ortholog_one2many			1
AL109925.5					
SNORA77	Gm25777	ortholog_one2many			1
RNU6-678P					
RN7SL398P					
CR589951.1					
SNORD14A					
RN7SKP110					
RNU6-360P	Gm22607	ortholog_one2many			0
RNU6-360P	Gm23817	ortholog_one2many			0
RN7SKP2					
AL139098.1					
AL136418.2					
RN7SKP219					
RNU6-824P					
AL445248.2					
RN7SKP21					
SCARNA3	Scarna3a	ortholog_one2many			1
SCARNA3	Scarna3b	ortholog_one2many			0
SCARNA3	Gm22416	ortholog_one2many			0
SCARNA3	Gm22387	ortholog_one2many			0
SCARNA3	Gm24718	ortholog_one2many			0
SCARNA3	Gm25119	ortholog_one2many			0
AL592430.1					
RNA5SP130					
OBP2B					
AC012640.2					
AL157858.1					
AC092868.1					
SNORA6	Gm23456	ortholog_one2many			0
SNORA6	Gm24044	ortholog_one2many			1
AP000552.4					
RNU6-15P					
RNU6-1172P					
AC080069.1					
RN7SKP266					
AC107055.1					
RN7SL251P					
AC247039.1					
RNU6-204P					
SNORA51	Gm24451	ortholog_one2one			1
RN7SL520P					
AL096709.1					
AL034410.1					
AL845353.1					
AC104070.1					
CR753819.1					
RNU6-1270P					
RNA5SP368					
RN7SL814P					
AL031684.1					
RN7SL248P					
RN7SKP72					
AC023830.4					
RNU1-51P					
RNA5SP186					
AC136611.1					
RNU7-37P					
RNU6-1225P					
AC093867.1					
RNU6-475P					
RNU6-1146P					
RNA5SP63					
AC004080.15					
RNU4-24P					
AL157838.2					
RNU6-961P					
RNA5SP138					
RN7SKP11					
RNU4-50P					
AP003392.6					
AC113410.1					
RNU6-313P					
AC116622.1					
RN7SL664P					
AC008635.1					
SNORD115-16					
SNORD69	Snord69	ortholog_one2one			1
RNU6-234P					
RN7SL378P					
RN7SKP239					
SNORA25B					
RNU6-1331P					
RNA5-8SN1					
RNU6-9					
RN7SKP277					
RN7SKP190					
AC096733.1					
RNU6-1199P					
RNA5SP108					
AC007435.2	Gm27421	ortholog_one2one			1
AC091038.1					
RNU1-73P					
RNU7-29P					
RNU4-78P					
AC073575.2					
RNU6-610P	Gm25578	ortholog_one2many			0
AL691482.1					
SNORA14B	Gm26397	ortholog_one2many			1
AC007272.2					
RNA5SP477					
RNA5SP416					
RNA5SP479					
SNORA59A					
RNU6-369P					
RNA5SP500					
RN7SL792P					
RN7SL684P					
RN7SKP195					
RNU7-185P					
RNU6-1243P					
AP000590.1					
AL606748.2					
AC021105.1					
AC040173.1					
RN7SL817P					
AC010655.5					
RNA5SP65					
RNU6-68P					
AL121715.1					
RNA5SP406					
AC026347.1					
RN7SL285P					
AC004080.13					
RNU1-5P					
RNA5SP302					
AC092630.1	Snord78	ortholog_one2many			0
RNU6-179P					
MIR6089					
BX908732.1					
AC073140.1					
MIR620					
AC106873.6					
MIR3165					
MIR6856					
RN7SKP37					
RN7SKP16					
SNORD108					
MIR4286					
SNORD82	Snord82	ortholog_one2one			1
AC130406.1					
AC008670.1					
AC091073.1					
MIR4803					
RNU6-947P					
AC211476.7					
RN7SL473P					
AC007351.4	Gm27366	ortholog_one2one			1
LENG1					
MIR3650					
CR759787.2					
MIR4277					
RNU6-422P	Gm22229	ortholog_one2one			0
RNA5SP342					
AC022217.1					
MIR4448					
AC217773.1					
RNU6-998P					
MIR8076					
RNU4-81P					
AC114772.1					
RNU6-264P					
RNU6-1328P					
MIR711	Mir711	ortholog_one2one			1
RN7SL413P					
RNA5SP521					
MIR499A					
RN7SKP238					
MIR7845					
RN7SKP267					
AC007375.1	Gm22459	ortholog_one2many			0
AC007375.1	Gm25188	ortholog_one2many			0
AC007375.1	Gm24355	ortholog_one2many			0
AC007375.1	Gm23713	ortholog_one2many			0
AC007375.1	Gm27619	ortholog_one2many			0
AC007375.1	Gm23455	ortholog_one2many			0
AC007375.1	Gm22303	ortholog_one2many			0
AC007375.1	Gm23299	ortholog_one2many			0
AC007375.1	Gm24610	ortholog_one2many			0
AC007375.1	Gm23451	ortholog_one2many			0
AC007375.1	Gm23404	ortholog_one2many			0
AC007375.1	Gm25859	ortholog_one2many			0
AC007375.1	Gm23406	ortholog_one2many			0
AC007375.1	Gm25876	ortholog_one2many			1
AC007375.1	Gm22615	ortholog_one2many			0
AC007375.1	Gm23939	ortholog_one2many			0
AC007375.1	Gm22293	ortholog_one2many			0
AC007375.1	Gm24412	ortholog_one2many			0
AC007375.1	Gm22358	ortholog_one2many			0
RN7SL88P					
RN7SKP91					
MIR4435-2					
RNA5-8SN2					
AC022692.1					
RNU7-174P					
MIR548S					
MIR518A2					
AC136352.3					
MIR518C					
RNU6-301P					
RN7SKP139					
AC073476.5					
RNU6-266P					
SNORD115-12					
MIR125A	Mir125a	ortholog_one2one			1
RNU6-1276P	Gm24901	ortholog_one2one			0
AL031591.2	Gm27680	ortholog_one2one			1
MIR8085					
AC011295.2					
AL445423.2					
MIR1203					
AL138834.1	Gm27265	ortholog_one2one			1
RN7SL541P					
FP885535.1					
MIR6862-1					
RN7SL303P					
RN7SL254P					
SNORD116-10					
MIR2276					
SNORD118	Gm24208	ortholog_many2many			0
SNORD118	Snord118	ortholog_many2many			1
AC087893.2					
RNU1-70P					
RNU6-331P					
AL607035.1					
RNU7-115P					
RNA5SP399					
RNU6-553P					
RNU2-59P					
RNU6-702P					
AL591926.2	Gm22942	ortholog_one2many			0
RNU6-964P	Gm26441	ortholog_one2one			0
MIR4641					
RNA5SP189					
RNU6-303P					
AL606804.2					
RNA5SP458					
RN7SL242P					
FTHL18					
E2F6P4					
AC107375.1					
AC022306.3					
AC013452.2					
REG3G					
ALDOC	Aldoc	ortholog_one2one	0.0106	0.417	1
AC087633.1					
HEMK1	Hemk1	ortholog_one2one	0.1243	0.467	1
TM4SF19	Tm4sf19	ortholog_one2many	0.1327	0.456	1
FGF7	Fgf7	ortholog_one2one	0.0262	0.3149	1
CHRAC1	Chrac1	ortholog_one2one	0.1153	0.534	1
AC087636.1					
AC024361.3					
FBXO30	Fbxo30	ortholog_one2one	0.0555	0.4186	1
ZP4					
AC083906.1					
KLRC1	Klri1	ortholog_many2many	0.7761	3.5337	0
KLRC1	Klri2	ortholog_many2many	0.7983	4.0556	0
KLRC1	Klre1	ortholog_many2many	0.754	2.5635	0
KLRC1	Klrh1	ortholog_many2many	0.8781	76.4527	0
KLRC1	Clec2m	ortholog_many2many	0.9726	16.8443	0
AC083906.5					
AC107976.1					
AC083906.2					
OR7E129P					
ADAM6					
AL356599.1					
AC246787.1					
OR7E21P					
KIR2DL4					
IGHV1-2					
AC009090.5					
AC009090.4					
IGHVIII-2-1					
IGHV1-3					
KIR3DL2					
IGHV4-4	Ighv3-8	ortholog_many2many	0.2779	0.9305	0
IGHV4-4	Ighv3-6	ortholog_many2many	0.2693	1.2023	0
IGHV4-4	Ighv3-3	ortholog_many2many	0.2774	1.0203	0
IGHV4-4	Ighv3-5	ortholog_many2many	0.2843	0.9423	1
IGHV4-4	Ighv3-4	ortholog_many2many	0.3111	0.9113	0
IGHV4-4	Ighv3-1	ortholog_many2many	0.273	1.2314	0
IGHV4-4	Ighv12-3	ortholog_many2many	0.2877	0.9388	0
AL359924.1					
AC069257.2					
AL590396.1					
AC069257.3					
AC104633.1					
AC007322.4					
AC104633.2					
AC008521.2					
COX6CP6					
AC015920.1					
ATP5MFP1					
AC005303.1					
AP000692.1					
HMGB1P36					
MAP2K6	Map2k6	ortholog_one2one	0.0097	0.4162	1
TCTEX1D2	Tctex1d2	ortholog_one2many	0.1303	0.5632	1
LINC02093					
CAVIN1	Cavin1	ortholog_one2one	0.0315	0.9579	1
SLC34A2	Slc34a2	ortholog_one2one	0.1271	0.8954	1
CHAF1B	Chaf1b	ortholog_one2one	0.0918	0.7128	1
FAH	Fah	ortholog_one2one	0.0564	0.7388	1
AL590396.3					
AL590396.2					
RPLP0					
AL590396.4					
MTRNR2L11					
RBMY1E	Gm21708	ortholog_many2many			0
RBMY1E	Gm10256	ortholog_many2many			0
RBMY1E	Gm10352	ortholog_many2many			0
RBMY1E	Gm21677	ortholog_many2many			0
RBMY1E	Gm4064	ortholog_many2many			0
RBMY1E	Gm21693	ortholog_many2many			0
RBMY1E	Gm29289	ortholog_many2many	0.3221	0.5534	0
RBMY1E	Gm21704	ortholog_many2many			0
RBMY1E	Gm3376	ortholog_many2many			0
RBMY1E	Rbmy	ortholog_many2many			0
MTCYBP15					
CCDC15	Ccdc15	ortholog_one2one	0.2717	0.5145	0
MTND6P15					
KIR2DS4					
MTND5P18					
PPIAP19					
SHPRH	Shprh	ortholog_one2one	0.0788	0.4907	1
YWHAQP9					
ROPN1B	Ropn1	ortholog_one2many	0.0815	0.425	1
AL137025.1					
AL356010.1					
AL356010.2					
KIR2DL1					
AC044802.2					
AL359551.1					
AP000692.2					
