Gene,GRAVY_Score
C20orf112,-0.0688
MRPL28,-0.0688
DDTL,0.0791
ASNS,-0.0840
PSMD5,-0.3082
UHRF1BP1,-0.3391
RPS5,-0.3582
DDX17,-1.0807
BIK,0.2056
PLEKHG2,-0.3190
DMRT3,-0.8848
ACTN1,-0.2437
VCL,-0.0688
CCDC80,-0.0137
APOH,-0.7155
TRAM2,0.1838
EFNA2,-0.3488
HSD17B2,0.9105
CENPM,0.3724
IGFALS,-0.6802
TPSD1,-0.0234
PSME1,-0.5733
OSGEP,0.5343
TBX21,-0.0688
C12orf5,-0.0688
CETP,0.1572
MMP11,-0.0688
CEBPE,-0.6712
CEACAM6,-0.1779
TFAP2C,-0.3281
PVR,-0.7536
SEMA4G,-0.3046
BAG6,-0.3452
TMEM38A,0.9632
ESF1,-1.2264
JOSD1,-0.4170
BCL7C,-0.6154
PSG6,-0.0603
LAMP2,0.1203
OTUB2,-0.6205
ASPHD2,-0.2146
TBC1D10A,-0.0688
GPANK1,-0.9622
STRADB,-0.0688
KDELR3,-0.0688
LTBP4,-0.5543
C19orf77,-0.0688
XBP1,-0.0688
SF3A1,-0.0688
HMOX1,-0.0688
DNMT3B,-0.5280
EIF2AK1,-0.4411
CMTM6,-0.0688
MAP2,-0.0688
KLHL20,-0.3040
TRMT6,-0.0688
MTMR7,-0.0990
ADAM7,-0.3360
MUSK,-0.0401
PTHLH,-0.9878
ESR1,-0.0688
IMPG2,-0.3438
SPG21,-0.0039
AQP2,0.7148
ERMP1,0.4298
DRD4,-0.0688
GOLGA3,-0.7865
ATP5D,-0.0688
EPS8L1,-0.8606
PLA2G3,-0.6141
CTSA,-0.0345
CMA1,-0.1130
TFAP4,-1.0455
ADH7,-0.0688
DHPS,-0.1442
CBX5,-1.5308
CACNB4,-0.6698
SIRT1,-0.0688
ARSA,-0.5103
TMEM101,0.3420
ITGB4,-0.6632
MYO15A,-0.4320
PRRT1,-0.0688
RASL10A,-0.0688
RRN3,-0.0643
RPGRIP1,-0.5860
MZF1,-0.7381
MISP,-0.8803
MAPK13,-0.0688
SIRT4,-0.6774
SCT,-0.2355
CCL7,0.0085
UQCRC1,-0.0688
CBY1,-0.0688
REM1,-0.5577
ACTR6,-0.3130
ABCC6,0.1414
RPL6,-1.2186
KIAA0141,-0.6127
ERLEC1,-0.0688
MAPK1,-0.2563
OSM,-0.0200
RNF215,-0.0688
RTCB,-0.0688
TSPAN32,-0.0688
NANS,-0.0688
CA12,-0.0688
MOK,-0.4247
ANKRD54,-0.4598
HEATR6,0.2043
LAPTM4A,-0.0688
UNC13D,-0.2926
NIPSNAP1,-0.0688
HSCB,-0.0688
EPB41L1,-0.0688
PTBP3,-0.0688
SNAP91,-0.0924
EFNB1,-0.3191
SPAG7,-1.3460
RALGAPA2,-0.2259
OXCT1,-0.0285
RHBDD3,-0.0688
SLC25A3,-0.2016
RGS17,-0.7410
SEMA5B,-0.0688
TECR,-1.0263
PPP6R2,-0.0688
SERPIND1,-0.2357
TMEM131,-0.0688
EPDR1,-0.4424
POLR2E,-1.1510
ALDH3A2,0.1193
WISP2,-0.0688
PDCD7,-0.5961
CRYBB1,-0.5448
ADAM11,-0.4928
FLT3LG,-0.0217
PCDHB4,-0.1044
CATSPERG,-0.0313
VNN3,-1.1593
MIF,-0.0688
COMT,-0.0688
FGF20,-0.8018
MLF2,-0.2050
THPO,-0.0688
SUN2,-0.6795
CDK13,-0.0688
TGM6,-0.0688
ZNF8,-0.9487
LAG3,-0.0688
NDUFB2,-0.1441
ZNF222,-0.0688
FAM107B,-1.4742
GAL3ST2,-0.1912
CDC6,-0.0688
RTDR1,-0.3060
MIOX,-0.4619
STX1B,-0.5147
CRYBB3,-0.4372
MOGAT2,0.1996
FMO2,-0.0688
TIMM13,-0.7100
LGALS1,-0.0688
OR1I1,0.5124
DLD,-0.0361
NAIP,-0.1544
MYL6B,-0.5246
TCN2,-0.0688
CLDN18,0.7158
SNRPD3,-0.0688
LST1,0.7831
C22orf31,-0.7328
TMEM230,-0.0688
GTPBP1,-0.3686
MICAL3,-1.2225
RPS18,-1.2951
KIAA1467,0.0602
STK10,-1.2186
SLC22A17,-0.0688
ANKRD16,-0.0688
SLC8B1,0.7398
PILRA,-0.0688
AASDH,-0.0086
SNAP29,-0.0688
OAS1,-0.1407
BAZ2A,-0.6397
APOBEC3D,-0.6218
GMIP,-0.5106
LZTR1,-0.3759
NME8,-0.0688
ROPN1,-0.4013
MADCAM1,-0.7362
NDUFB4,-1.0250
FAM135A,-0.1406
RNASEH2A,-0.0688
ACTA2,-0.0688
PPP1R37,-0.4444
AK1,-0.5196
BIRC7,-0.5052
SHPK,-0.1483
ICAM5,-0.0688
FSD1,-0.2040
GZMB,-0.6477
RIPK3,-0.9950
CHADL,-0.3198
POLD2,-0.4400
SUPT16H,-0.1667
OXT,0.0936
PDYN,-0.5780
ECH1,0.0528
ARHGEF7,-0.4602
COL1A1,-0.7429
FA2H,-0.0724
EMC9,-0.2619
SLC5A5,-0.0688
FOXN1,-0.6188
FCGBP,-0.0209
ARFRP1,-0.2744
EPX,-0.3148
FCGRT,-0.2702
POP4,-0.9080
STX1A,-0.0688
NDFIP2,-0.2296
CTSG,-0.0688
MEFV,-0.4554
ACR,-0.0688
FGF21,-0.3344
CAPS,-0.3042
NKG7,0.4941
PLAT,-0.3710
CD38,-0.4316
CCL3,-0.0688
SIX4,-0.6023
ZNF510,-0.0688
MEIS2,-0.8144
CEP128,-0.8793
PLOD3,-0.0947
CENPI,-1.3044
C1QBP,-0.0000
UBOX5,-0.0659
CORO1A,-0.0638
COA1,-0.0688
OGDH,-0.3181
CDKN3,-0.1463
SLC25A11,0.0760
VSIG1,-0.0688
APLP1,-0.6676
EBI3,-0.0688
SYNGR1,-0.0688
CCL13,-0.5065
UTP18,-0.0689
SPATA6L,-0.2711
TAX1BP3,-0.4065
CCDC130,-1.3629
PABPC1L,-0.0960
KMT2B,-0.0688
KCND1,-0.3932
TSC2,-0.4854
SGCG,0.0024
SARS2,-0.1310
SUPT4H1,0.3167
APMAP,-0.1150
KRT37,-0.4356
PLEKHB1,-0.5357
MT4,-0.0274
MACROD2,-0.0688
GIMAP2,-0.0688
COCH,0.6737
RSPH6A,-0.7164
URGCP,-0.0688
ABCF2,-0.4865
C20orf27,-0.3508
TSPAN12,0.7310
STXBP2,-0.2561
CACNG7,-0.0688
SEC61B,0.5452
PNN,-0.9605
MAN2B1,-0.2515
RP2,-0.2697
KCNN1,-0.9886
TKTL1,-0.0688
ATP1B4,-0.8564
HNRNPL,-0.3010
KRT32,-0.4192
JADE3,-0.8026
USP31,-0.8876
SRMS,-0.2232
HSP90AA1,-1.4900
CHGA,0.4000
ACSM2A,-0.4509
ATP5SL,-0.5479
BUD31,-0.0688
RHBDL1,0.3799
TLR8,-0.1833
DECR1,-0.5952
ACP5,0.4892
CBX1,-1.1466
ELAVL2,-0.0688
WFDC2,-0.0688
CHD9,-0.9430
USP10,-0.4456
CBLL1,-0.0688
HBP1,-0.7974
PABPN1,-0.9400
OLFM4,-0.2871
TNFAIP1,-0.1960
ALDOC,-0.2526
BDKRB1,0.4430
GLRA2,-0.1664
PHOX2B,-0.8251
ZNF29P,-0.0688
PAF1,-0.6148
PFN1,-0.1452
CEP41,-0.7923
TXN2,-0.0688
VTN,-0.5331
NEFL,-0.0688
DRG2,-0.0419
DNAJC17,-0.8472
LAMTOR3,-0.0688
RASL12,-0.2463
MEST,-0.0195
BLNK,-1.1786
PRSS54,0.2247
MAZ,-0.1010
GLCCI1,-0.0688
VIM,-0.7998
GOSR2,-0.5467
PYGL,-0.3321
ISM2,-0.4114
SMR3A,-0.6045
SMPD3,-0.3879
MED31,-0.0688
JADE1,-1.7824
PSMD7,0.2651
PRUNE2,-0.0688
TMC5,1.2839
TOX3,-0.3090
NAGLU,-0.3494
RSPO4,-0.6965
PQBP1,-0.0688
AKAP10,-0.6080
SULT2A1,-0.3702
TCEB1P28,-0.0688
HOXA2,-0.6053
CLC,-0.3211
PIGU,-0.0688
PEX11G,-0.0688
PSMB3,-0.1327
CNTD2,0.0950
AATF,-0.9039
SLC8A3,-0.0688
MLNR,0.2244
GABPB1,-0.0688
DDX5,-1.3141
CCL22,0.1624
HOXA13,-0.0688
GSS,-0.2500
RELB,-0.0603
SLCO4A1,0.3027
TPD52L2,-0.0688
LFNG,-0.0688
MYL12A,-0.7989
PPIF,-0.0688
FAM118A,-0.0688
C1GALT1,-0.0688
L3MBTL2,-0.0688
CABP7,-0.1181
PLIN3,-0.1827
FKBP3,-0.4062
ASIC2,-0.0688
ZNF419,0.3278
ZP2,-0.1682
CD82,0.5720
ERF,-0.4787
EPHX3,0.2508
TNFRSF10A,0.4813
LSM5,-0.0688
IL2,-0.0688
AGO2,-0.7139
PTGDS,-0.3277
PGRMC1,-0.5259
TBC1D17,-0.4006
FAM20A,-0.7476
LDHA,0.5630
PAPLN,-0.6271
HYAL4,0.4651
PSMA2,-0.3525
DBP,-0.4496
DECR2,-0.0688
GAR1,-0.0688
PXMP4,0.1415
SLC17A7,0.3254
FMR1,-0.0688
MYL10,-0.3655
RHOXF1,-0.8065
CEACAM4,-0.0736
ZNF205,-0.8443
TBCB,-0.8594
C17orf75,0.0974
DKKL1,-0.7904
STAG2,-0.0688
RCVRN,-0.0688
OIP5,0.0155
ALKBH1,-0.4345
SETD6,-0.4690
TG,-0.2333
CSTF1,-0.0688
RLN1,-0.0688
KCTD9,0.3088
CSK,-0.3736
NOBOX,-0.6103
MANBA,-0.2266
CCL1,-0.0615
CNIH1,1.0645
FKBP8,-0.1304
TAB1,-0.0688
TMED8,-0.6268
ITGB8,-0.3371
ZNF862,-0.0688
PAGE4,-0.0688
CPA2,-0.0688
MYH1,-0.7773
CYP4F3,-0.0688
CTSH,0.5661
FOXRED2,-0.0512
ZFAND1,-0.6431
RP11-551L14.4,-0.0688
SLC25A14,0.3737
PNPLA3,-0.0688
RASIP1,-0.6137
HMOX2,-0.4906
KNOP1,-1.5096
CPQ,-0.0688
LBP,0.0624
SLC6A2,-1.0702
KIR3DX1,-0.0688
EIF3E,-0.3788
TBL1X,-0.0688
TUBB1,-0.2428
SETX,-0.0688
ACD,-0.1691
AFM,-0.0688
CSNK2A1,-0.7905
VPS18,-0.2950
ZNF780B,-0.2448
STUB1,-0.9935
ZNF180,-0.9728
ZNF512B,-0.7642
GSK3A,-0.0688
H2BFWT,-0.6074
TRPS1,-0.8243
SLC32A1,0.4606
CCL2,-0.0688
GCDH,-0.5709
SULT1E1,-0.0688
NOX1,-0.1707
PMM1,-0.0688
DKK4,-0.5308
ACOT8,-0.2785
KCNA7,0.2678
NSF,-0.2188
CST4,-0.3993
TRMT1,-0.7920
PON2,-0.0725
CADM4,-0.0688
HGF,-0.0688
PTOV1,-0.0700
CEACAM3,-0.0687
AKNA,-0.0688
FIZ1,-0.2250
PROCR,0.0164
NPVF,-0.5648
FKTN,-0.0478
CHMP4B,-0.8116
CAV2,-0.0688
STMN2,-0.8512
PTPRA,-0.1731
GNPNAT1,-0.0810
NTHL1,-0.5532
USB1,-0.9400
CHRAC1,-0.0688
PCK2,-0.0065
BCL7B,-0.0688
H2AFV,0.0925
HOMER3,-0.5531
CACNG1,0.3410
EPOR,-0.2118
PF4V1,0.0990
POLI,-0.0538
CACTIN,-0.8972
PLAUR,-0.6690
ZNF688,-0.7655
UPK1A,0.2564
AHCY,-0.0916
CRYBA1,-0.7365
IBSP,-1.3877
SGTA,-0.3981
CINP,-0.4150
YAE1D1,-0.0688
P2RX1,0.2702
BRF2,-0.7833
CCDC9,-1.3354
RP1,-0.6313
GSR,-0.0493
DCTN6,0.2892
UBR5,-0.4712
HOXA5,-0.0688
MAGED2,-0.0688
PAG1,-0.0688
C16orf70,-0.5072
HTATSF1,-1.0393
TLDC2,0.2704
RAB3D,-0.3452
HDAC5,-0.4502
SNAPC1,-0.8261
SOS2,0.0129
PAPOLA,-0.4027
PITRM1,-0.0688
CLASRP,-1.4753
C19orf44,-1.0657
WASL,-0.8354
MXRA5,-0.4645
QPRT,0.3644
ARHGAP5,-1.1898
SPI1,-0.3278
SNX8,-0.0688
MARK3,-0.5455
SLC52A3,-0.0688
CDC37,-1.2287
TULP2,-0.8762
LAP3,-0.2096
FAM173A,0.1649
LGALS13,-0.0688
MOSPD3,-0.1040
FAM149A,-0.7342
RPL3,-0.5738
ZBED4,-0.4157
SYNGR2,0.0735
ARHGDIG,-0.0688
PON1,-0.0569
DHDH,0.0165
SIGLEC5,-0.3200
YKT6,-0.1988
CCSER2,-1.1364
SRP54,0.0824
RP11-81H14.3,-0.0688
NFKBIA,-1.3098
DHODH,-0.3396
CHRDL1,-0.5844
SLC7A6,-1.1393
MPO,-0.0688
USP11,-0.0688
PNPLA6,1.5789
CLIP2,-0.8000
CASP14,-0.0688
PSMA3,-0.6916
PSMD10,-0.2832
CGRRF1,-0.3151
CPNE6,-0.1908
RPA3,-0.0688
LHB,0.3213
HDAC10,-0.0688
LIN7B,-0.7252
RAB3A,-0.0688
CENPT,-1.3500
MYL7,-0.4020
ABCD1,-0.0207
PSME2,-0.3535
RETN,0.4268
CBX7,-0.0688
TVP23C,0.1546
MYBL2,-0.7324
BCKDK,-0.2429
TTLL12,-0.1692
ABI3,-0.2830
POLR2C,0.1913
RP11-44M6.3,-0.0688
LIM2,0.6514
CKM,-0.5898
MPG,-0.0688
PTGS1,-0.2950
RIPK2,-0.5201
MOGAT3,0.1439
ZNRF4,-0.0627
TBC1D13,-0.1183
GTPBP10,-0.0688
CERK,-0.3100
RARRES2,-0.0688
CPA4,-0.4606
RPL18A,-0.8416
CDIPT,0.5649
IDH3G,-0.0688
GNRHR,0.0908
ZFYVE21,-0.9532
RUVBL2,0.1578
HNF1B,-0.6507
RABAC1,0.9286
CCDC47,-0.0688
GPR50,0.0603
RPL19,-0.6336
NEFM,-1.0424
RAB40AL,-0.1629
WFS1,-0.1167
RANGRF,-0.0688
TIMP1,-0.1706
PLGRKT,-0.0688
CWC25,-1.6705
WNT16,-0.4369
AQP8,0.6722
CTSZ,-0.0688
PROKR2,0.3479
FIS1,-0.8250
ARL2BP,-0.1582
AES,-0.9875
GZMH,-0.0965
PPY,0.0495
EXTL3,-0.2041
CD79A,-0.4310
SAMD15,-0.4432
AFP,-0.0688
RBM28,-1.4919
TXNL1,0.1971
KLHL2,-0.1051
PIGL,0.1206
SF3A2,-0.9978
ABHD4,-0.3545
RUNDC3A,-0.5317
CSF3,-0.2123
CNFN,0.0116
IL2RB,-0.0441
NME4,-0.2405
C14orf105,-1.0498
F9,-0.0688
NRF1,-0.0816
BCORL1,-0.0688
EDF1,-0.9022
PVALB,-0.0688
RNF125,-0.0667
ACO2,-0.0688
MYH9,-0.0688
DNASE2,-0.0688
CYP3A5,-0.0688
SFXN3,-0.1944
NUTF2,-0.0688
SERPINE1,-0.0773
AQP9,0.7557
HSD17B1,-0.0688
GAPDHS,0.0307
POLR2I,-0.8102
ORC6,-0.3852
P2RX5,-0.5286
USF2,-0.9581
EEF1A2,-0.3056
UPK3A,0.1970
EIF3D,-0.7944
GALK1,-0.2583
LENG1,-1.5091
GSTZ1,-0.0471
MGA,-0.5394
GDAP1,-0.0688
FERMT1,-0.3067
BLOC1S6,0.3333
DNAJC12,-0.1325
GUCY2F,-0.1072
SNRNP70,-2.1212
TCFL5,-0.4650
CXCL6,0.4071
WNT3,-0.0688
CYP3A43,-0.0688
SP4,-1.5510
LYRM1,-0.0688
PSENEN,-0.3814
SLC1A6,0.0851
FBL,-0.3307
MTFMT,-0.0688
KIAA1199,-0.4785
NUP88,-0.2883
SLC25A39,0.0602
DLX5,-0.0688
RPS6KB1,-0.5145
ARRDC2,-0.6500
PNPO,-0.7250
NFKB1,-0.3217
RBP3,0.0407
HAMP,-0.0688
CRYM,0.2582
DHX33,-0.3742
BRMS1L,-0.0688
RRN3P2,-0.0688
TADA2A,-0.4446
SLC10A1,0.7218
VRK1,-0.5307
SIRPG,-0.0688
APEX1,-0.8610
ZNF500,-1.0293
ZFP64,-0.0688
TGM5,-0.0688
C8G,-0.0688
SPTLC2,-0.1320
EFS,-0.3276
SMARCD2,-0.1437
VTI1B,-0.3000
EXOSC5,-0.1066
AEBP1,-0.0688
WDR13,-0.0688
CYP24A1,-0.0688
MAPKBP1,-0.3836
ITIH6,-0.0688
SPINT3,-0.0483
TMEM97,0.3533
MMP2,-0.2476
GDF10,-0.4370
PIN4,-0.7939
ARSD,0.0268
CLNK,-0.8133
PNPLA5,-0.2037
PIGH,0.2942
TWISTNB,-0.0688
RUFY3,-0.5547
ADSL,0.3810
TAF9,-0.6241
CPD,-0.1718
ATP12A,0.0156
RIN3,-0.3346
PCOLCE,-0.0688
SNTA1,-0.2404
CBLN1,0.0271
WISP1,-0.0729
MRPL32,-0.0688
TBC1D12,-0.0688
ZNF432,-0.4691
ST6GALNAC2,0.3952
PYGB,-0.0688
ERCC2,-0.3524
PDIA2,-0.1655
EFNB3,-0.3803
KXD1,-0.4750
SNAPC2,-0.6309
CDH23,-0.1049
TIMM9,-0.6273
SALL4,-0.0688
PIK3R2,-0.0688
CAPN15,-0.6089
UBE2D4,-0.0688
WDR83OS,-0.1802
CHN2,-0.4795
NID2,-0.5764
CRX,-0.6764
OBFC1,-0.0688
FBXL15,-0.0688
GML,0.1085
AP4S1,0.0173
LRRC59,-0.2081
CEACAM5,-0.3308
BMF,-0.1328
MTHFD1,-0.0960
NOD1,-0.0688
PLLP,0.5000
ST13,-0.0688
HLF,-0.6325
C5,-0.0688
MYH3,-0.0688
ZNF263,-1.1804
STS,-0.0916
SPA17,-0.0688
GOSR1,-0.5085
PRMT5,-0.0674
ZNF574,-0.3104
HOXA6,-0.0688
RBX1,-0.0688
PCSK1N,-0.0688
TGFB1,-0.6042
FAM83D,-0.3450
PHF20L1,-0.7267
ABHD11,-0.2644
CWH43,0.4429
TFPI2,-0.3935
BET1,-0.0227
UBFD1,-0.5470
SLC38A7,0.5106
GLA,-0.2104
HUWE1,-0.0688
PARD6A,-0.3858
AHSA1,-0.4754
FKBP14,-0.0688
RHOV,-0.2589
TM9SF4,-0.0688
PLEK2,-0.5065
ERH,-0.6663
BRD1,-0.6546
FRG1,-0.7762
FDFT1,-0.2359
POLE2,-0.1538
NSFL1C,-0.3857
DHRS12,-0.0688
LAMB1,-0.0688
SIPA1L3,-0.8695
AMH,-0.0688
MTMR9,-0.0688
SLC25A43,-0.0688
NME3,-0.2228
CTD-3199J23.4,-0.0688
CCL24,-0.0672
ATP6V1D,-0.2569
HAS1,-0.0626
TNFSF8,-0.0688
R3HDML,-0.3087
NCALD,-0.7691
PHF5A,-0.0688
EIF5,-0.2510
DHRS7,0.1730
ACSM1,-0.4540
HOXB6,-0.0688
CDKL1,-0.4108
C17orf72,-0.3940
TRIB3,-0.0688
