Gene,n
ROPN1,213.0
MADCAM1,383.0
NDUFB4,130.0
FAM135A,148.0
RNASEH2A,300.0
ACTA2,378.0
PPP1R37,692.0
AK1,211.0
BIRC7,299.0
SHPK,479.0
ICAM5,925.0
FSD1,497.0
GZMB,248.0
RIPK3,519.0
CHADL,763.0
POLD2,456.0
SUPT16H,1048.0
OXT,126.0
PDYN,255.0
ECH1,329.0
ARHGEF7,706.0
COL1A1,1465.0
FA2H,373.0
EMC9,209.0
SLC5A5,644.0
FOXN1,649.0
FCGBP,5406.0
ARFRP1,130.0
EPX,716.0
FCGRT,366.0
POP4,97.0
STX1A,289.0
NDFIP2,337.0
CTSG,256.0
MEFV,782.0
ACR,422.0
FGF21,210.0
CAPS,190.0
NKG7,166.0
PLAT,563.0
CD38,301.0
CCL3,93.0
SIX4,782.0
ZNF510,684.0
MEIS2,256.0
CEP128,436.0
PLOD3,739.0
CENPI,743.0
C1QBP,283.0
UBOX5,542.0
CORO1A,462.0
COA1,147.0
OGDH,1024.0
SLC25A11,315.0
VSIG1,388.0
APLP1,652.0
EBI3,230.0
SYNGR1,119.0
CCL13,99.0
UTP18,557.0
TAX1BP3,125.0
CCDC130,397.0
PABPC1L,172.0
KMT2B,2716.0
KCND1,648.0
TSC2,1808.0
SGCG,292.0
SARS2,519.0
SUPT4H1,118.0
APMAP,417.0
KRT37,450.0
PLEKHB1,190.0
MT4,63.0
MACROD2,426.0
GIMAP2,338.0
COCH,551.0
RSPH6A,718.0
URGCP,889.0
ABCF2,635.0
C20orf27,200.0
TSPAN12,306.0
STXBP2,594.0
CACNG7,276.0
SEC61B,97.0
PNN,718.0
MAN2B1,1011.0
RP2,351.0
KCNN1,544.0
TKTL1,337.0
ATP1B4,358.0
HNRNPL,590.0
KRT32,449.0
JADE3,824.0
USP31,1353.0
SRMS,489.0
HSP90AA1,733.0
CHGA,458.0
ACSM2A,578.0
ATP5SL,258.0
BUD31,145.0
PABPC1L,331.0
RHBDL1,439.0
TLR8,1042.0
DECR1,336.0
ACP5,326.0
CBX1,186.0
ELAVL2,347.0
WFDC2,103.0
USP10,799.0
CBLL1,491.0
HBP1,515.0
PABPN1,307.0
OLFM4,511.0
TNFAIP1,317.0
ALDOC,365.0
BDKRB1,354.0
GLRA2,453.0
PHOX2B,315.0
PAF1,463.0
PFN1,141.0
CEP41,374.0
TXN2,167.0
VTN,479.0
DRG2,365.0
DNAJC17,305.0
LAMTOR3,118.0
RASL12,267.0
MEST,336.0
BLNK,457.0
PRSS54,396.0
MAZ,494.0
GLCCI1,548.0
VIM,467.0
GOSR2,214.0
PYGL,848.0
ISM2,77.0
SMR3A,135.0
SMPD3,656.0
MED31,132.0
JADE1,843.0
PSMD7,325.0
PRUNE2,325.0
TMC5,761.0
TOX3,577.0
NAGLU,744.0
RSPO4,235.0
PQBP1,266.0
AKAP10,663.0
SULT2A1,286.0
HOXA2,377.0
CLC,143.0
PIGU,436.0
PEX11G,242.0
PSMB3,206.0
CNTD2,156.0
AATF,561.0
SLC8A3,299.0
MLNR,413.0
GABPB1,396.0
DDX5,615.0
CCL22,94.0
HOXA13,389.0
GSS,475.0
RELB,580.0
SLCO4A1,723.0
TPD52L2,230.0
LFNG,380.0
MYL12A,172.0
PPIF,208.0
FAM118A,358.0
C1GALT1,364.0
L3MBTL2,706.0
CABP7,216.0
PLIN3,435.0
FKBP3,225.0
ASIC2,564.0
ZNF419,511.0
ZP2,746.0
CD82,268.0
ERF,549.0
EPHX3,361.0
TNFRSF10A,469.0
LSM5,72.0
IL2,154.0
AGO2,860.0
PTGDS,225.0
PGRMC1,196.0
TBC1D17,649.0
LDHA,242.0
PAPLN,809.0
HYAL4,482.0
PSMA2,235.0
DBP,326.0
DECR2,293.0
GAR1,218.0
PXMP4,145.0
SLC17A7,561.0
FMR1,612.0
MYL10,227.0
RHOXF1,185.0
CEACAM4,245.0
ZNF205,555.0
TBCB,245.0
C17orf75,397.0
DKKL1,243.0
STAG2,1269.0
RCVRN,201.0
OIP5,230.0
ALKBH1,390.0
SETD6,474.0
TG,2769.0
CSTF1,432.0
RLN1,118.0
KCTD9,390.0
CSK,451.0
NOBOX,575.0
MANBA,880.0
CCL1,97.0
CNIH1,145.0
FKBP8,413.0
TAB1,505.0
TMED8,326.0
ITGB8,770.0
ZNF862,1170.0
PAGE4,103.0
CPA2,420.0
MYH1,1940.0
CYP4F3,521.0
CTSH,336.0
FOXRED2,685.0
ZFAND1,269.0
SLC25A14,326.0
PNPLA3,482.0
RASIP1,964.0
HMOX2,317.0
KNOP1,459.0
CPQ,473.0
LBP,482.0
SLC6A2,629.0
KIR3DX1,353.0
EIF3E,446.0
TBL1X,578.0
TUBB1,452.0
SETX,2678.0
ACD,542.0
AFM,600.0
CSNK2A1,392.0
VPS18,974.0
ZNF780B,686.0
STUB1,304.0
ZNF180,693.0
ZNF512B,893.0
GSK3A,484.0
H2BFWT,176.0
TRPS1,1282.0
SLC32A1,526.0
CCL2,100.0
GCDH,439.0
SULT1E1,295.0
NOX1,516.0
PMM1,263.0
DKK4,225.0
ACOT8,320.0
KCNA7,457.0
NSF,645.0
CST4,142.0
TRMT1,631.0
PON2,355.0
PAF1,532.0
CADM4,389.0
HGF,729.0
PTOV1,375.0
CEACAM3,213.0
AKNA,900.0
FIZ1,497.0
PROCR,239.0
NPVF,197.0
FKTN,462.0
CHMP4B,225.0
CAV2,163.0
STMN2,180.0
PTPRA,794.0
GNPNAT1,185.0
NTHL1,313.0
USB1,266.0
CHRAC1,132.0
PCK2,641.0
BCL7B,203.0
H2AFV,115.0
HOMER3,359.0
CACNG1,223.0
EPOR,509.0
PABPC1L,615.0
PF4V1,105.0
POLI,615.0
CACTIN,868.0
PLAUR,291.0
ZNF688,277.0
UPK1A,259.0
AHCY,433.0
CRYBA1,216.0
IBSP,318.0
SGTA,314.0
CINP,213.0
YAE1D1,227.0
P2RX1,400.0
BRF2,420.0
CCDC9,532.0
RP1,2157.0
GSR,523.0
DCTN6,191.0
UBR5,2799.0
HOXA5,271.0
MAGED2,607.0
PAG1,433.0
C16orf70,423.0
HTATSF1,756.0
TLDC2,216.0
RAB3D,220.0
HDAC5,1124.0
SNAPC1,369.0
SOS2,1333.0
PAPOLA,746.0
PITRM1,1038.0
CLASRP,675.0
C19orf44,658.0
WASL,506.0
MXRA5,2829.0
SPI1,272.0
SNX8,466.0
MARK3,714.0
SLC52A3,470.0
CDC37,379.0
TULP2,521.0
LAP3,520.0
FAM173A,219.0
LGALS13,140.0
MOSPD3,236.0
FAM149A,483.0
RPL3,404.0
ZBED4,1172.0
SYNGR2,225.0
ARHGDIG,226.0
PON1,356.0
DHDH,335.0
SIGLEC5,552.0
YKT6,199.0
CCSER2,835.0
SRP54,505.0
NFKBIA,318.0
DHODH,396.0
CHRDL1,457.0
SLC7A6,516.0
MPO,746.0
USP11,964.0
PNPLA6,1328.0
CLIP2,1047.0
CASP14,243.0
PSMA3,256.0
PSMD10,227.0
CGRRF1,333.0
CPNE6,558.0
RPA3,122.0
LHB,142.0
HDAC10,670.0
LIN7B,208.0
RAB3A,221.0
CENPT,562.0
MYL7,176.0
ABCD1,746.0
PSME2,240.0
RETN,109.0
CBX7,252.0
TVP23C,277.0
MYBL2,701.0
BCKDK,413.0
TTLL12,645.0
ABI3,367.0
POLR2C,276.0
LIM2,216.0
CKM,382.0
MPG,299.0
PTGS1,563.0
RIPK2,541.0
MOGAT3,342.0
ZNRF4,430.0
TBC1D13,276.0
GTPBP10,388.0
CERK,538.0
RARRES2,164.0
CPA4,422.0
RPL18A,177.0
CDIPT,214.0
IDH3G,394.0
GNRHR,329.0
ZFYVE21,253.0
RUVBL2,260.0
HNF1B,558.0
RABAC1,186.0
CCDC47,484.0
GPR50,618.0
RPL19,197.0
NEFM,917.0
RAB40AL,279.0
WFS1,891.0
RANGRF,187.0
TIMP1,208.0
PLGRKT,148.0
CWC25,426.0
WNT16,366.0
AQP8,262.0
CTSZ,304.0
PROKR2,385.0
FIS1,153.0
ARL2BP,164.0
AES,265.0
GZMH,247.0
PPY,96.0
EXTL3,920.0
CD79A,227.0
SAMD15,675.0
AFP,623.0
RBM28,760.0
TXNL1,290.0
KLHL2,594.0
PIGL,253.0
SF3A2,465.0
ABHD4,237.0
RUNDC3A,406.0
CSF3,208.0
CNFN,113.0
IL2RB,552.0
NME4,188.0
C14orf105,297.0
F9,462.0
NRF1,504.0
BCORL1,1712.0
EDF1,149.0
PVALB,111.0
RNF125,233.0
ACO2,781.0
MYH9,1961.0
DNASE2,361.0
CYP3A5,503.0
SFXN3,326.0
NUTF2,128.0
SERPINE1,403.0
AQP9,296.0
HSD17B1,330.0
GAPDHS,409.0
POLR2I,126.0
ORC6,253.0
P2RX5,423.0
USF2,347.0
EEF1A2,464.0
UPK3A,288.0
EIF3D,549.0
GALK1,393.0
LENG1,265.0
GSTZ1,217.0
MGA,3066.0
GDAP1,359.0
FERMT1,678.0
BLOC1S6,173.0
DNAJC12,199.0
GUCY2F,1109.0
SNRNP70,429.0
TCFL5,484.0
CXCL6,115.0
WNT3,356.0
CYP3A43,505.0
SP4,785.0
LYRM1,123.0
PSENEN,102.0
SLC1A6,565.0
FBL,322.0
MTFMT,390.0
KIAA1199,1362.0
NUP88,697.0
SLC25A39,352.0
DLX5,290.0
RPS6KB1,526.0
ARRDC2,408.0
PNPO,262.0
NFKB1,970.0
RBP3,1248.0
HAMP,85.0
CRYM,315.0
DHX33,708.0
BRMS1L,324.0
TADA2A,444.0
SLC10A1,350.0
VRK1,397.0
SIRPG,277.0
APEX1,319.0
ZNF500,481.0
ZFP64,682.0
TGM5,721.0
C8G,203.0
SPTLC2,563.0
EFS,562.0
SMARCD2,457.0
VTI1B,45.0
EXOSC5,236.0
AEBP1,1159.0
WDR13,486.0
CYP24A1,515.0
MAPKBP1,1392.0
ITIH6,1314.0
SPINT3,90.0
TMEM97,177.0
MMP2,661.0
GDF10,479.0
PIN4,112.0
CLNK,429.0
PNPLA5,430.0
PIGH,189.0
TWISTNB,339.0
RUFY3,470.0
ADSL,485.0
TAF9,265.0
CPD,1381.0
ATP12A,1046.0
RIN3,986.0
PCOLCE,450.0
SNTA1,506.0
CBLN1,194.0
WISP1,281.0
MRPL32,189.0
TBC1D12,776.0
ZNF432,653.0
ST6GALNAC2,375.0
PYGB,844.0
ERCC2,128.0
PDIA2,526.0
EFNB3,341.0
KXD1,177.0
SNAPC2,335.0
CDH23,3360.0
SALL4,1054.0
PIK3R2,729.0
CAPN15,1087.0
UBE2D4,148.0
WDR83OS,105.0
CHN2,469.0
NID2,1376.0
CRX,300.0
CYP4F2,521.0
OBFC1,369.0
FBXL15,301.0
GML,159.0
AP4S1,160.0
LRRC59,308.0
CEACAM5,703.0
BMF,130.0
MTHFD1,936.0
NOD1,954.0
PLLP,183.0
ST13,370.0
HLF,296.0
C5,1677.0
MYH3,1941.0
ZNF263,684.0
STS,584.0
SPA17,152.0
GOSR1,251.0
PRMT5,577.0
ZNF574,987.0
HOXA6,234.0
RBX1,109.0
PCSK1N,261.0
RLN1,186.0
TGFB1,391.0
FAM83D,616.0
PHF20L1,405.0
ABHD11,316.0
CWH43,700.0
TFPI2,236.0
BET1,119.0
UBFD1,534.0
SLC38A7,463.0
GLA,430.0
HUWE1,1673.0
PARD6A,347.0
AHSA1,339.0
FKBP14,212.0
RHOV,237.0
TM9SF4,626.0
PLEK2,354.0
BRD1,1059.0
FRG1,259.0
FDFT1,418.0
POLE2,528.0
NSFL1C,371.0
DHRS12,243.0
LAMB1,1787.0
SIPA1L3,1782.0
AMH,561.0
MTMR9,550.0
SLC25A43,342.0
NME3,170.0
CCL24,120.0
ATP6V1D,248.0
HAS1,579.0
TNFSF8,235.0
R3HDML,254.0
NCALD,194.0
PHF5A,111.0
EIF5,432.0
DHRS7,340.0
ACSM1,229.0
HOXB6,225.0
CDKL1,277.0
TRIB3,359.0
ZIM2,528.0
MROH8,872.0
RABGGTA,568.0
SPAM1,510.0
MPP6,541.0
ZNHIT3,156.0
RPS19,72.0
PEX12,360.0
HAS3,282.0
KAT2A,838.0
COMP,758.0
DUSP3,186.0
EHD4,542.0
PPP2CB,310.0
PDCD5,56.0
HSDL1,331.0
SFRP1,315.0
ALDH3A1,454.0
NUFIP2,696.0
AIMP2,321.0
SCG3,469.0
TMEM147,225.0
CNOT3,754.0
TFR2,802.0
CHMP5,220.0
RASD1,282.0
CCL17,95.0
METRN,188.0
MMP15,670.0
C14orf166B,155.0
MRPL27,149.0
C14orf166B,201.0
NXT2,198.0
KAT8,459.0
C19orf53,81.0
EVX1,202.0
PYCRL,287.0
CMC2,80.0
WFDC1,221.0
CYP26A1,498.0
EMC2,298.0
NAMPT,492.0
ATE1,519.0
CCDC113,378.0
PTK6,452.0
PLA2G15,413.0
GIT1,762.0
TTC31,520.0
MRPL34,93.0
ALOX12,664.0
RAB38,212.0
TBCC,347.0
RRBP1,1411.0
GNG11,74.0
SLC6A7,637.0
TAS2R9,313.0
MSANTD2,508.0
DHX40,780.0
NAGK,345.0
HVCN1,274.0
VCY,126.0
TCEAL3,201.0
FFAR2,331.0
GNB4,341.0
APC2,2304.0
PRRX1,246.0
CREBL2,121.0
TUBGCP6,1820.0
PGF,170.0
CLEC2B,150.0
DHX29,1370.0
SELL,386.0
SSPN,244.0
EFCAB4B,396.0
MYF5,256.0
ATP5S,128.0
NT5C1A,369.0
APOL5,434.0
RNF114,229.0
AGO3,627.0
UROD,368.0
ALLC,392.0
EIF1B,114.0
CCDC77,489.0
TAS2R5,300.0
PRKCSH,529.0
PLAGL2,497.0
UBA2,641.0
ITPR2,182.0
NALCN,1739.0
PPP1R8,128.0
RBP1,198.0
SLC5A9,707.0
AARS2,986.0
FAM98A,519.0
SART3,964.0
SAFB2,954.0
IL4,154.0
BHLHE41,483.0
MYOG,225.0
UNC93B1,597.0
HPR,386.0
CHPF,776.0
IAPP,90.0
SYMPK,1275.0
CCDC117,280.0
RNF170,117.0
RBMY1J,497.0
ELN,725.0
TAS2R7,319.0
WDR83,316.0
UBE4A,1067.0
ARHGDIB,202.0
CYP27B1,509.0
MBD4,581.0
RNF103,686.0
LAMA4,88.0
KLK9,251.0
LANCL1,400.0
PRSS16,515.0
TCF15,200.0
TNFSF9,255.0
PAPOLG,737.0
AIF1L,151.0
LILRA6,465.0
TCEANC2,209.0
PSPN,157.0
AAMP,435.0
SYT10,524.0
BCL2L12,177.0
KCNJ2,428.0
ACOT13,141.0
NAV3,2364.0
NDUFB2,106.0
ZNF259,460.0
MAGEC2,374.0
MIF4GD,257.0
FLRT1,675.0
LUC7L3,433.0
ASF1A,205.0
FMO6P,419.0
HES1,281.0
RAB7L1,204.0
TNFSF14,205.0
CLPP,278.0
RFPL2,289.0
HLA-DOA,251.0
KLRK1,217.0
WARS2,361.0
TMX4,350.0
DHRS2,281.0
SMIM8,98.0
PRAMEF2,475.0
ZKSCAN3,539.0
IVD,424.0
TFEB,477.0
OR5V1,322.0
BCL2L12,335.0
TNFSF10,282.0
TBPL2,376.0
BBS2,722.0
SIGLEC9,464.0
EEPD1,570.0
ARHGAP40,593.0
BCL6,707.0
PVRL2,480.0
FAM110A,296.0
PMPCB,490.0
PLEKHB2,222.0
ALKBH7,222.0
CPS1,1501.0
RFPL3,318.0
APOA5,367.0
CXCR4,353.0
SPP1,301.0
GJA8,434.0
TAS2R10,308.0
BCL2L2,194.0
FZD3,667.0
TRIM51,310.0
CENPA,115.0
KIAA0087,139.0
PRKAG3,490.0
CLEC11A,324.0
CLTA,249.0
LMAN1,511.0
LNPEP,1026.0
NARFL,477.0
NUDCD1,584.0
FAM155B,473.0
SCRN1,415.0
FAM149B1,583.0
ATXN1,816.0
PDGFRL,376.0
DAZL,316.0
HBA2,143.0
CDC7,575.0
SNRPC,160.0
SGPP1,442.0
SMO,788.0
RNF39,421.0
PPP2R5D,112.0
SLC17A1,468.0
EMC6,111.0
HOXA7,231.0
THAP10,258.0
NEU1,416.0
FYN,486.0
SLURP1,104.0
SLC15A3,582.0
SGK1,432.0
LILRA1,490.0
CAPRIN2,1128.0
NCF4,340.0
IRF5,499.0
INSL4,140.0
SLC1A4,533.0
ZNF232,445.0
LILRA2,467.0
VEGFA,164.0
COX7C,64.0
VDR,428.0
PMFBP1,1008.0
BMP4,409.0
GCLC,638.0
GPR126,1222.0
CSMD2,3488.0
KIF6,266.0
HSPA2,640.0
PHTF2,786.0
ARL2,185.0
LTBR,436.0
INTS2,1197.0
METTL25,604.0
ARPC3,179.0
EAPP,286.0
SLC39A14,482.0
GPLD1,841.0
