Gene,Theoretical Peptide Count
PABPC1L,30
KMT2B,545
KCND1,133
TSC2,351
SGCG,49
SARS2,108
SUPT4H1,30
APMAP,80
KRT37,80
PLEKHB1,36
MT4,17
MACROD2,93
GIMAP2,80
COCH,105
RSPH6A,99
URGCP,188
ABCF2,154
C20orf27,45
TSPAN12,48
STXBP2,144
CACNG7,35
SEC61B,25
PNN,216
MAN2B1,168
RP2,73
KCNN1,105
TKTL1,61
ATP1B4,66
HNRNPL,108
KRT32,79
JADE3,193
USP31,289
SRMS,99
HSP90AA1,185
CHGA,102
ACSM2A,117
ATP5SL,57
BUD31,53
PABPC1L,89
RHBDL1,71
TLR8,187
DECR1,74
ACP5,60
CBX1,56
ELAVL2,70
WFDC2,15
CHD9,1
USP10,126
CBLL1,81
HBP1,96
PABPN1,64
OLFM4,91
TNFAIP1,84
ALDOC,73
BDKRB1,58
GLRA2,104
PHOX2B,57
ZNF29P,1
PAF1,104
PFN1,31
CEP41,88
TXN2,39
VTN,90
NEFL,1
DRG2,87
DNAJC17,105
LAMTOR3,25
RASL12,62
MEST,65
BLNK,97
PRSS54,66
MAZ,88
GLCCI1,112
VIM,119
GOSR2,57
PYGL,200
ISM2,21
SMR3A,13
SMPD3,114
MED31,32
JADE1,216
PSMD7,86
PRUNE2,62
TMC5,138
TOX3,61
NAGLU,115
RSPO4,66
PQBP1,79
AKAP10,128
SULT2A1,70
TCEB1P28,1
HOXA2,61
CLC,26
ARHGAP33,1
PIGU,52
PEX11G,47
PSMB3,40
CNTD2,28
AATF,137
SLC8A3,39
MLNR,75
GABPB1,60
DDX5,151
CCL22,23
HOXA13,63
GSS,95
RELB,100
SLCO4A1,80
TPD52L2,55
LFNG,79
MYL12A,41
PPIF,50
FAM118A,75
C1GALT1,80
L3MBTL2,154
CABP7,37
PLIN3,82
FKBP3,70
ASIC2,113
ZNF419,122
ZP2,125
CD82,37
ERF,101
EPHX3,57
TNFRSF10A,92
LSM5,21
IL2,28
AGO2,191
PTGDS,37
PGRMC1,44
TBC1D17,108
FAM20A,1
LDHA,57
PAPLN,137
HYAL4,94
PSMA2,45
DBP,72
DECR2,58
GAR1,65
PXMP4,33
SLC17A7,79
FMR1,166
MYL10,54
RHOXF1,40
CEACAM4,27
ZNF205,116
TBCB,58
C17orf75,82
DKKL1,55
STAG2,264
RCVRN,55
OIP5,41
ALKBH1,80
SETD6,90
TG,420
CSTF1,83
RLN1,31
KCTD9,81
CSK,111
NOBOX,86
MANBA,136
CCL1,27
CNIH1,11
FKBP8,74
TAB1,79
TMED8,60
ITGB8,150
ZNF862,251
PAGE4,32
CPA2,76
MYH1,511
CYP4F3,104
CTSH,58
FOXRED2,136
ZFAND1,75
RP11-551L14.4,1
SLC25A14,67
PNPLA3,89
RASIP1,173
HMOX2,75
KNOP1,137
CPQ,83
LBP,81
SLC6A2,87
KIR3DX1,55
EIF3E,101
TBL1X,86
TUBB1,74
SETX,611
ACD,82
AFM,143
CSNK2A1,85
VPS18,192
ZNF780B,144
STUB1,80
ZNF180,142
ZNF512B,222
GSK3A,89
H2BFWT,53
TRPS1,266
SLC32A1,76
CCL2,29
GCDH,93
SULT1E1,77
NOX1,102
PMM1,66
DKK4,57
ACOT8,58
KCNA7,82
NSF,151
CST4,27
TRMT1,141
PON2,53
PAF1,119
CADM4,75
HGF,166
PTOV1,76
CEACAM3,17
AKNA,172
FIZ1,97
PROCR,33
NPVF,53
FKTN,111
CHMP4B,52
CAV2,23
STMN2,61
PTPRA,152
GNPNAT1,38
NTHL1,80
USB1,53
CHRAC1,36
PCK2,127
BCL7B,46
H2AFV,42
HOMER3,90
CACNG1,35
EPOR,61
PABPC1L,127
PF4V1,28
POLI,141
CACTIN,215
PLAUR,49
ZNF688,66
UPK1A,29
AHCY,85
CRYBA1,40
IBSP,46
SGTA,52
CINP,50
YAE1D1,46
P2RX1,85
BRF2,92
CCDC9,137
RP1,418
GSR,106
DCTN6,35
UBR5,528
HOXA5,54
MAGED2,147
PAG1,73
C16orf70,74
HTATSF1,182
TLDC2,37
RAB3D,46
HDAC5,184
SNAPC1,120
SOS2,281
PAPOLA,154
PITRM1,209
CLASRP,216
C19orf44,131
WASL,103
MXRA5,533
QPRT,1
ARHGAP5,1
SPI1,57
SNX8,106
MARK3,196
SLC52A3,27
CDC37,121
TULP2,120
LAP3,111
FAM173A,45
LGALS13,25
MOSPD3,42
FAM149A,108
RPL3,144
ZBED4,237
SYNGR2,27
ARHGDIG,54
PON1,53
DHDH,67
SIGLEC5,86
YKT6,51
CCSER2,186
SRP54,124
RP11-81H14.3,1
NFKBIA,43
DHODH,90
CHRDL1,114
SLC7A6,55
MPO,162
USP11,177
PNPLA6,276
CLIP2,275
CASP14,61
PSMA3,61
PSMD10,47
CGRRF1,62
CPNE6,103
RPA3,21
LHB,23
HDAC10,77
LIN7B,57
RAB3A,49
CENPT,101
MYL7,41
ABCD1,151
PSME2,60
RETN,19
CBX7,72
TVP23C,63
MYBL2,163
BCKDK,98
TTLL12,118
ABI3,52
POLR2C,53
RP11-44M6.3,1
LIM2,38
CKM,94
MPG,75
PTGS1,102
RIPK2,106
MOGAT3,49
ZNRF4,65
TBC1D13,64
GTPBP10,95
CERK,114
RARRES2,43
CPA4,79
RPL18A,69
CDIPT,26
IDH3G,79
GNRHR,54
ZFYVE21,66
RUVBL2,66
HNF1B,88
RABAC1,28
CCDC47,116
GPR50,72
RPL19,100
NEFM,250
RAB40AL,75
WFS1,179
RANGRF,23
TIMP1,39
PLGRKT,41
CWC25,163
WNT16,90
AQP8,28
CTSZ,53
PROKR2,66
FIS1,46
ARL2BP,25
AES,59
GZMH,53
PPY,16
EXTL3,178
CD79A,27
SAMD15,127
AFP,116
RBM28,241
TXNL1,55
KLHL2,115
PIGL,48
SF3A2,70
ABHD4,46
RUNDC3A,90
CSF3,21
CNFN,15
IL2RB,72
NME4,41
C14orf105,92
F9,92
NRF1,55
BCORL1,279
EDF1,53
PVALB,31
RNF125,54
ACO2,160
MYH9,553
DNASE2,53
CYP3A5,111
SFXN3,60
NUTF2,15
SERPINE1,71
AQP9,39
HSD17B1,62
GAPDHS,85
POLR2I,25
ORC6,71
P2RX5,100
USF2,55
EEF1A2,112
UPK3A,33
EIF3D,146
GALK1,72
LENG1,94
GSTZ1,42
MGA,622
GDAP1,86
FERMT1,144
BLOC1S6,47
DNAJC12,59
GUCY2F,210
SNRNP70,135
TCFL5,101
CXCL6,30
WNT3,78
CYP3A43,112
SP4,77
LYRM1,41
PSENEN,17
SLC1A6,90
FBL,80
MTFMT,94
KIAA1199,274
NUP88,145
SLC25A39,67
DLX5,46
RPS6KB1,114
ARRDC2,83
PNPO,59
NFKB1,169
RBP3,158
HAMP,16
CRYM,47
DHX33,154
BRMS1L,86
RRN3P2,1
TADA2A,113
SLC10A1,54
VRK1,113
SIRPG,49
APEX1,81
ZNF500,99
ZFP64,137
TGM5,123
C8G,33
SPTLC2,121
EFS,69
SMARCD2,110
VTI1B,7
EXOSC5,51
AEBP1,209
WDR13,113
CYP24A1,122
MAPKBP1,256
ITIH6,200
SPINT3,21
TMEM97,37
MMP2,130
GDF10,100
PIN4,41
ARSD,1
CLNK,111
PNPLA5,73
PIGH,33
TWISTNB,53
RUFY3,121
ADSL,111
TAF9,58
CPD,239
ATP12A,198
RIN3,168
PCOLCE,77
SNTA1,101
CBLN1,35
WISP1,39
MRPL32,54
TBC1D12,169
ZNF432,153
ST6GALNAC2,69
PYGB,198
ERCC2,32
PDIA2,92
EFNB3,58
KXD1,34
SNAPC2,59
CDH23,435
TIMM9,1
SALL4,168
PIK3R2,157
CAPN15,185
UBE2D4,29
WDR83OS,13
CHN2,109
NID2,183
CRX,50
CYP4F2,103
OBFC1,79
FBXL15,67
GML,27
AP4S1,29
LRRC59,102
CEACAM5,70
BMF,15
MTHFD1,184
NOD1,187
PLLP,17
ST13,101
HLF,69
C5,308
MYH3,519
ZNF263,142
STS,98
SPA17,40
GOSR1,68
PRMT5,112
ZNF574,210
HOXA6,51
RBX1,22
PCSK1N,53
RLN1,48
TGFB1,86
FAM83D,120
PHF20L1,76
ABHD11,57
CWH43,116
TFPI2,61
BET1,29
UBFD1,114
SLC38A7,48
GLA,75
HUWE1,294
PARD6A,71
AHSA1,80
FKBP14,53
RHOV,57
TM9SF4,101
PLEK2,91
ERH,1
BRD1,272
FRG1,84
FDFT1,85
POLE2,102
NSFL1C,76
DHRS12,48
LAMB1,308
SIPA1L3,360
AMH,100
MTMR9,108
SLC25A43,64
NME3,39
CTD-3199J23.4,1
CCL24,34
ATP6V1D,82
HAS1,114
TNFSF8,34
R3HDML,47
NCALD,51
PHF5A,34
EIF5,121
DHRS7,70
ACSM1,48
HOXB6,53
CDKL1,72
C17orf72,1
TRIB3,78
ZIM2,126
MROH8,180
RABGGTA,113
SPAM1,90
MPP6,122
ZNHIT3,38
RPS19,30
PEX12,69
HAS3,54
KAT2A,195
COMP,129
DUSP3,39
EHD4,125
PPP2CB,62
PDCD5,15
HSDL1,64
SFRP1,73
ALDH3A1,84
NUFIP2,124
AIMP2,61
SCG3,123
TMEM147,27
CNOT3,138
TFR2,129
CHMP5,60
RASD1,83
CCL17,29
METRN,32
MMP15,121
C14orf166B,33
MRPL27,44
C14orf166B,35
NXT2,39
KAT8,116
C19orf53,37
EVX1,44
PYCRL,49
CMC2,25
WFDC1,56
CYP26A1,115
EMC2,79
NAMPT,114
ATE1,119
CCDC113,125
PTK6,101
PLA2G15,73
GIT1,167
TTC31,111
MRPL34,32
ALOX12,127
RAB38,47
TBCC,89
RRBP1,313
GNG11,28
SLC6A7,69
TAS2R9,55
MSANTD2,92
DHX40,210
NAGK,63
HVCN1,66
VCY,33
TCEAL3,55
FFAR2,52
GNB4,62
APC2,472
PRRX1,55
CREBL2,54
TUBGCP6,295
PGF,35
CLEC2B,42
DHX29,333
SELL,70
SSPN,41
EFCAB4B,97
MYF5,49
ATP5S,31
NT5C1A,79
APOL5,97
RNF114,49
AGO3,143
RAB9A,1
UROD,68
ALLC,79
EIF1B,27
CCDC77,164
TAS2R5,50
PRKCSH,93
PLAGL2,93
UBA2,142
ITPR2,49
NALCN,342
PPP1R8,18
RBP1,43
SLC5A9,93
AARS2,178
FAM98A,101
SART3,238
SAFB2,280
IL4,43
BHLHE41,87
MYOG,44
UNC93B1,83
HPR,70
CHPF,131
IAPP,19
SYMPK,259
CCDC117,46
RNF170,13
RBMY1J,146
ELN,60
TAS2R7,64
WDR83,64
UBE4A,183
ARHGDIB,53
CYP27B1,101
MBD4,167
RNF103,119
LAMA4,13
KLK9,33
LANCL1,73
PRSS16,74
TCF15,53
TNFSF9,40
PAPOLG,169
AIF1L,45
LILRA6,61
TCEANC2,76
PSPN,33
AAMP,51
SYT10,112
BCL2L12,40
KCNJ2,82
ACOT13,33
NAV3,454
NDUFB2,21
ZNF259,82
MAGEC2,44
MIF4GD,57
FLRT1,122
LUC7L3,155
ASF1A,25
FMO6P,75
HES1,49
RAB7L1,49
TNFSF14,41
CLPP,49
RFPL2,64
HLA-DOA,33
KLRK1,47
WARS2,91
TMX4,55
DHRS2,59
SMIM8,25
PRAMEF2,98
ZKSCAN3,119
IVD,90
TFEB,84
OR5V1,39
BCL2L12,67
TNFSF10,64
TBPL2,73
BBS2,131
SIGLEC9,66
EEPD1,117
ARHGAP40,139
BCL6,140
PVRL2,71
FAM110A,72
PMPCB,103
PLEKHB2,39
ALKBH7,46
CPS1,299
RFPL3,61
APOA5,78
CXCR4,58
SPP1,51
GJA8,84
TAS2R10,55
BCL2L2,29
FZD3,116
TRIM51,59
CENPA,39
KIAA0087,36
PRKAG3,80
CLEC11A,62
CLTA,46
LMAN1,106
LNPEP,184
NARFL,95
NUDCD1,109
FAM155B,87
SCRN1,72
FAM149B1,109
ATXN1,116
PDGFRL,81
DAZL,59
HBA2,27
CDC7,138
SNRPC,24
SGPP1,76
SMO,133
RNF39,108
PPP2R5D,37
SLC17A1,58
EMC6,20
HOXA7,47
THAP10,68
NEU1,67
FYN,107
SLURP1,15
SLC15A3,81
SGK1,91
LILRA1,68
CAPRIN2,211
NCF4,91
IRF5,90
INSL4,35
SLC1A4,69
ZNF232,98
TUBBP1,1
LILRA2,54
VEGFA,38
COX7C,18
VDR,90
PMFBP1,288
BMP4,82
GCLC,133
GPR126,200
CSMD2,435
KIF6,65
HSPA2,158
PHTF2,157
ARL2,46
LTBR,53
INTS2,184
METTL25,135
ARPC3,47
EAPP,68
SLC39A14,51
GPLD1,133
AKAP3,187
ECSIT,66
MAPRE3,59
PVRL2,69
NEUROG3,53
KRT5,126
TUBG2,79
C3orf14,28
TNFSF11,65
ZNF141,140
MMP24,142
MLX,70
CASP8AP2,1
ENPP5,72
LRFN3,91
GLI1,165
HCST,11
IRF1,73
CCDC86,112
PEX6,108
TTC21B,300
AICDA,63
HOXD10,78
GFER,58
COLGALT1,141
TICAM1,91
SF1,103
AFTPH,137
TCP11,75
RP11-467L20.10,1
STATH,11
C22orf24,21
NR5A2,106
PPP4R1L,65
RDH10,65
MAX,31
FBXO9,104
IL18R1,124
FCGR2B,37
MICAL3,1
CORO7,159
C4BPB,44
ACTR5,113
CTSC,76
ACVR2A,94
UNC93A,52
TSG101,79
CD93,94
WDR18,66
ANAPC15,5
HELLS,27
HEMK1,56
COL21A1,183
FILIP1,348
BTNL8,76
FGFR1OP2,71
DNPH1,36
SALL1,189
SGIP1,148
APC2,423
ZNF468,33
OR7C1,33
YLPM1,379
APOB,923
RAF1,146
CPSF3,121
CARD10,248
MYH13,506
PTK7,198
RAD51AP1,96
C19orf80,43
WFDC3,58
ZC3H14,153
ENO2,93
SH2D3A,106
ATP6V0B,19
TPI1,59
BAI3,139
MAST1,317
SKIV2L2,237
GHRH,30
MORC1,242
NR1D1,111
GPRC5D,35
CCDC70,83
SNRPA,58
C22orf23,69
TGFB3,96
ACYP1,26
LILRA2,56
HIF3A,90
RP4-763G1.2,1
VIL1,171
VGF,115
FBXO24,121
ADAT2,42
PRDM2,355
PTK7,136
ACTR8,68
ZC2HC1C,98
KRT13,92
LEPRE1,153
YIPF4,29
SUGP1,155
NRK,326
IGFLR1,53
SCGB2A2,11
B9D2,25
INF2,162
SNRNP27,62
VCY1B,33
MAD2L2,42
CPNE5,106
SIRT2,76
ENDOU,64
IL12B,70
DAD1,13
OR2B6,42
POLR3B,260
DHRS11,47
CTAG2,45
MC3R,27
MOB4,41
NECAB3,73
ARMCX5,138
CRIPT,39
SIX1,66
HARS2,129
PCDHB15,128
PINLYP,1
TDRD1,228
TMEM55B,52
PAIP2B,19
KRT31,75
HSD17B8,43
COIL,147
FKBP9,90
CDADC1,128
EEF1B2,49
CAMSAP2,324
ACOT2,104
BBS9,160
SDF2L1,35
FBXL12,78
ARMC4,109
MVK,70
LIF,40
KNSTRN,85
GATC,7
TNNT2,102
PIN1,43
IL23A,25
KLHL18,86
DHDDS,87
HSD3B1,77
SNX4,115
FBXO44,52
DMXL2,515
NUP85,129
SP140L,127
KRT35,86
APOA1,75
TYRL,1
GSTT1,51
HIST1H2BG,46
FAM76A,93
BCL9,180
WBP1,32
ISLR,47
C17orf53,76
TMEM159,15
PCNX,393
PRPH2,69
FUT5,65
FAM120B,55
ART4,62
SLC4A9,152
NME2P1,1
MCEE,34
MSTO1,83
NFYB,33
UGT2A3,104
IFI35,1
SEMA3G,150
PCGF1,72
ORMDL2,23
SOX9,72
MRPS2,68
ID2,26
VAX2,77
ATP6V1B1,96
NDUFA13,54
DSTN,47
DYNLL1,23
ORC2,138
PARP2,153
IFT43,44
MLLT1,153
NEDD8,29
WISP1,58
RPS12,37
IL13RA2,61
INHBA,94
IRX4,90
RARRES1,60
GAPDH,71
SOX15,48
CNTRL,624
GSC,54
PSG4,54
PITHD1,49
SLC27A1,130
DNAJB9,55
XPO7,188
ABCC10,218
SLC30A3,47
HRH2,66
OAS3,198
SERP1,21
GATAD2A,139
TBC1D30,210
PBX4,79
UNG,62
SRD5A2,1
NSUN5,91
GMNN,51
SLX1A,51
MYOD1,59
EREG,32
FGF6,47
ACVR1C,97
LRRC4,90
OPRD1,63
TRNT1,113
DLGAP5,233
TNP1,36
ANGEL1,84
ARMC2,60
MND1,76
PTGER2,61
KDM5B,287
MON1B,98
TMEM180,61
SRSF6,123
FAM162A,51
STIL,206
ETV1,86
RRP9,111
PIGZ,1
SCML2,155
LY86,28
TWIST1,47
SNAP23,53
PACSIN1,120
RHCE,43
ZFAND5,50
S1PR4,71
TPSG1,37
ZNF549,158
FBXO44,49
AZU1,45
MRPL51,49
FASTKD2,149
CCT4P2,1
SLC44A4,106
ADTRP,51
KIAA0391,121
GNRH2,23
TBX4,99
LGALSL,33
FYN,102
NCK2,93
HLA-DQA2,27
CDC42EP1,63
FGF23,46
ZNF211,118
APOBEC2,48
GNG13,21
LIPE,186
AMOTL2,186
CDC25B,130
HIST2H2AC,47
SSR1,45
ATG14,122
FAM53C,73
IDUA,106
RAB3GAP2,1
TNN,230
PAPD7,108
APOBEC1,49
TUSC2,29
SEC14L5,139
KCNIP2,36
TUBA4A,76
UBE2C,13
APH1A,14
SLC22A5,85
PRRG2,29
NR4A1,100
SULT4A1,53
ANGPTL1,113
STRIP2,179
DENND1B,73
SLC35B1,47
OCM,21
MTRF1,1
UFM1,21
KCNA5,110
FLT3,171
PLA2G12A,35
IFNA7,43
GBP3,23
PRAMEF10,104
PCDHB3,118
TAS2R8,55
PCDHGA12,149
NPRL2,77
AHDC1,262
CDO1,40
TFG,48
CLSPN,310
PCDHB7,122
RAB3IP,105
HOXC11,60
PRLR,57
ILF3,152
ARPP19,37
CHPT1,46
EMR1,122
IYD,70
ATP1B2,59
MYO16,164
NEK4,197
ISL1,79
RPS13,47
PSMF1,51
WDFY1,76
USP6,293
MTERFD2,90
TRIM23,118
